fuente,grupo_fuente,formato,ruta,tipo_hallazgo,severidad,campo,cantidad,detalle
2025_Incendios_forestales,csv_evento,csv,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\2025_Incendios_forestales.csv,anio_vs_fecha_inconsistente,media,anio/fecha_inicio,3,El año reportado no coincide con el año de la fecha de inicio.
estadisticasIncendiosForestales2015-2024,excel_evento,xlsx,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\estadisticasIncendiosForestales2015-2024.xlsx,anio_vs_fecha_inconsistente,media,ano/fecha_inicio,11,El año reportado no coincide con el año de la fecha de inicio.
historico_incendios_activos_2001-2025,historico_shp_evento_multianual,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\historico_incendios_2001-2025\historico_incendios_activos_2001-2025.shp,fechas_invertidas,alta,f_inicio/f_fin,105,Fecha de inicio posterior a fecha de término.
historico_incendios_activos_2001-2025,historico_shp_evento_multianual,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\historico_incendios_2001-2025\historico_incendios_activos_2001-2025.shp,fechas_fuera_periodo_proyecto,media,f_inicio,27,Se detectaron registros fuera del periodo definido para el proyecto [2001-2025].
incendios_2010,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2010\incendios_2010.shp,geometrias_invalidas,media,geometry,1,Se detectaron geometrías inválidas.
incendios_2011,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2011\incendios_2011.shp,fechas_invertidas,alta,fechainic/fechaliq,1,Fecha de inicio posterior a fecha de término.
incendios_2012,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2012\incendios_2012.shp,fechas_invertidas,alta,fechainic/fechaliq,8,Fecha de inicio posterior a fecha de término.
incendios_2012,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2012\incendios_2012.shp,geometrias_nulas,alta,geometry,9,Se detectaron geometrías nulas.
incendios_2012,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2012\incendios_2012.shp,geometrias_invalidas,media,geometry,9,Se detectaron geometrías inválidas.
incendios_2017,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2017\incendios_2017.shp,geometrias_invalidas,alta,geometry,45,Se detectaron geometrías inválidas.
incendios_2019,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2019\incendios_2019.shp,fechas_invertidas,alta,fechainic/fechaliq,1,Fecha de inicio posterior a fecha de término.
incendios_2019,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2019\incendios_2019.shp,geometrias_invalidas,media,geometry,2,Se detectaron geometrías inválidas.
incendios_2020,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2020\incendios_2020.shp,fechas_invertidas,alta,fechainic/fechaliq,1,Fecha de inicio posterior a fecha de término.
incendios_2021,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2021\incendios_2021.shp,fechas_invertidas,alta,fechainic/fechaliq,2,Fecha de inicio posterior a fecha de término.
incendios_2021,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2021\incendios_2021.shp,duplicados_exactos,media,,1,Registros completamente duplicados (0.01% del total).
incendios_2021,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2021\incendios_2021.shp,duplicados_por_clave_incendio,media,claveinc,5,Se detectaron claves de incendio repetidas.
incendios_2021,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2021\incendios_2021.shp,fechas_invalidas,media,fechaliq,2,Valores no nulos que no pudieron parsearse como fecha de término.
incendios_2021,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2021\incendios_2021.shp,geometrias_invalidas,media,geometry,3,Se detectaron geometrías inválidas.
incendios_2021,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2021\incendios_2021.shp,nulos_en_campo_critico,media,fechainic,4,Campo crítico con 0.055% de nulos.
incendios_2022,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2022\incendios_2022.shp,fechas_invertidas,alta,fechainic/fechaliq,3,Fecha de inicio posterior a fecha de término.
incendios_2022,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2022\incendios_2022.shp,geometrias_invalidas,alta,geometry,17,Se detectaron geometrías inválidas.
incendios_2022,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2022\incendios_2022.shp,fechas_invalidas,media,fechainic,1,Valores no nulos que no pudieron parsearse como fecha de inicio.
incendios_2022,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2022\incendios_2022.shp,fechas_invalidas,media,fechaliq,1,Valores no nulos que no pudieron parsearse como fecha de término.
incendios_2023,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2023\incendios_2023.shp,geometrias_invalidas,media,geometry,4,Se detectaron geometrías inválidas.
