archivo,ruta,carpeta_relativa,formato,tipo_dato,registros,num_campos,epsg,crs,geom_tipos,geom_vacias,geom_invalidas,bbox,raster_width,raster_height,raster_res_x,raster_res_y,raster_nodata,raster_dtype,raster_count,shp_tiene_dbf,shp_tiene_shx,shp_tiene_prj,shp_tiene_cpg,shp_sidecars_faltantes,producto_inferido,categoria_du,subcategoria_du,temporalidad_tipo,periodo_referencia,uso_ml_posterior,uso_visualizacion,fase_uso,prioridad_du,decision_du,hallazgos_calidad,nivel_revision,observaciones_tecnicas,comentario_metodologico
cdv_edaf_esc_250k_serie II_cont_nac.shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\inegi\edafologia\conjunto_de_datos\cdv_edaf_esc_250k_serie II_cont_nac.shp,edafologia\conjunto_de_datos,SHP,vector,75491.0,25,,,"{""Polygon"": 75491}",0.0,43.0,"{""maxx"": 4189413.374242, ""maxy"": 2410318.615033, ""minx"": 738315.578242, ""miny"": 248139.024133}",,,,,,,,True,True,False,False,.prj;.cpg,edafologia,ambiental,suelo_edafologia,corte_cartografico,serie_producto_inegi; confirmar en metadatos,candidato_medio_como_variable_categorica,si,integration_feature_engineering,media,conservar_revisar_crs_geometrias_revisar_geometrias_revisar_sidecars_criticos,sin_crs;geometrias_invalidas;sidecars_criticos_faltantes;sidecars_no_criticos_faltantes,alto,geom_invalidas=43; sin_crs; sidecars_faltantes=.prj;.cpg,"Puede aportar contexto de suelo. Si carece de CRS, no asignar ni reproyectar hasta confirmar metadatos oficiales. Presenta CRS ausente; en DP solo asignar CRS si se confirma con metadatos. Presenta geometrías inválidas; en DP puede requerir make_valid o estrategia equivalente. Presenta sidecars críticos faltantes; validar integridad del shapefile antes de DP. Falta .cpg; revisar codificación si aparecen caracteres raros, pero no es bloqueante."
cdv_usuev250sVII_cnal.shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\inegi\uso_del_suelo_y_vegetacion\conjunto_de_datos\cdv_usuev250sVII_cnal.shp,uso_del_suelo_y_vegetacion\conjunto_de_datos,SHP,vector,179099.0,2,,"PROJCS[""Albers_Conic_Equal_Area"",GEOGCS[""GCS_GRS_1980_IUGG_1980"",DATUM[""unknown"",SPHEROID[""GRS80"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Albers_Conic_Equal_Area""],PARAMETER[""latitude_of_center"",12],PARAMETER[""longitude_of_center"",-102],PARAMETER[""standard_parallel_1"",17.5],PARAMETER[""standard_parallel_2"",29.5],PARAMETER[""false_easting"",2500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]","{""MultiPolygon"": 16, ""Polygon"": 179083}",0.0,615.0,"{""maxx"": 4189503.3909, ""maxy"": 2366102.7428, ""minx"": 738425.0353, ""miny"": 243167.3903}",,,,,,,,True,True,True,True,,uso_suelo_vegetacion,ambiental,cobertura_vegetal_uso_suelo,corte_cartografico_o_serie,serie_producto_inegi; confirmar en metadatos,candidato_fuerte_como_variable_categorica,si,integration_feature_engineering,alta,conservar_revisar_calidad_revisar_geometrias,geometrias_invalidas,medio,geom_invalidas=615,Capa relevante para contexto ambiental y posible variable categórica posterior. No generar features en DU. Presenta geometrías inválidas; en DP puede requerir make_valid o estrategia equivalente.
continuonacional_15m.tif,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\inegi\modelos_digitales_de_elevacion\conjunto_de_datos\continuonacional_15m.tif,modelos_digitales_de_elevacion\conjunto_de_datos,TIF,raster,,0,6365.0,EPSG:6365,{},,,"{""maxx"": -86.664966, ""maxy"": 32.756696, ""minx"": -118.392188, ""miny"": 14.497946}",228436.0,131463.0,0.00013888888900000001,0.00013888888900000001,32767.0,"[""int16""]",1.0,,,,,,elevacion,elevacion,modelo_digital_elevacion,capa_estatica,no_aplica_como_serie_diaria,candidato_fuerte_como_variable_derivada,si,feature_engineering,alta,conservar_revisar_tamano_raster,raster_muy_grande,medio,raster_muy_grande_requiere_manejo_por_bloques,Útil para extraer elevación y posiblemente pendiente en Feature Engineering. No procesar completo en DU si es muy grande.
provincias_fisiograficas.shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\inegi\fisiografia\conjunto_de_datos\provincias_fisiograficas.shp,fisiografia\conjunto_de_datos,SHP,vector,733.0,11,,"PROJCS[""North_America_Lambert_Conformal_Conic"",GEOGCS[""ITRF92"",DATUM[""International_Terrestrial_Reference_Frame_1992"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""6651""]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""latitude_of_origin"",12],PARAMETER[""central_meridian"",-102],PARAMETER[""standard_parallel_1"",17.5],PARAMETER[""standard_parallel_2"",29.5],PARAMETER[""false_easting"",2500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]","{""Polygon"": 733}",0.0,0.0,"{""maxx"": 4427354.750183, ""maxy"": 2767388.500344, ""minx"": 683171.745608, ""miny"": 124.680039}",,,,,,,,True,True,True,False,.cpg,fisiografia,ambiental,region_fisiografica,capa_estatica_contextual,no_aplica_como_serie_diaria,candidato_medio_como_variable_regional,si,integration_feature_engineering,media,conservar,sidecars_no_criticos_faltantes,bajo,sidecars_faltantes=.cpg,"Útil para contextualizar regiones físicas. No tiene granularidad diaria. Falta .cpg; revisar codificación si aparecen caracteres raros, pero no es bloqueante."
red_hidrografica_250k.shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\inegi\hidrografia\conjunto_de_datos\red_hidrografica_250k.shp,hidrografia\conjunto_de_datos,SHP,vector,112994.0,11,,"PROJCS[""North_America_Lambert_Conformal_Conic"",GEOGCS[""ITRF92"",DATUM[""International_Terrestrial_Reference_Frame_1992"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""6651""]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""latitude_of_origin"",12],PARAMETER[""central_meridian"",-102],PARAMETER[""standard_parallel_1"",17.5],PARAMETER[""standard_parallel_2"",29.5],PARAMETER[""false_easting"",2500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]","{""LineString"": 112994}",0.0,0.0,"{""maxx"": 4013263.0, ""maxy"": 2349537.526037, ""minx"": 1074019.382123, ""miny"": 319302.40625}",,,,,,,,True,True,True,False,.cpg,hidrografia,ambiental,red_hidrografica,capa_estatica_contextual,no_aplica_como_serie_diaria,no_directo_derivable_distancia,si,feature_engineering_visualizacion,media,conservar,sidecars_no_criticos_faltantes,bajo,sidecars_faltantes=.cpg,"No se usa directamente como variable tabular; puede servir después para distancia a red hídrica o visualización. Falta .cpg; revisar codificación si aparecen caracteres raros, pero no es bloqueante."
00ent.shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\inegi\mg_2025_integrado\conjunto_de_datos\00ent.shp,mg_2025_integrado\conjunto_de_datos,SHP,vector,32.0,3,,"PROJCS[""MEXICO_ITRF_2008_LCC"",GEOGCS[""ITRF2008"",DATUM[""International_Terrestrial_Reference_Frame_2008"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""1061""]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""latitude_of_origin"",12],PARAMETER[""central_meridian"",-102],PARAMETER[""standard_parallel_1"",17.5],PARAMETER[""standard_parallel_2"",29.5],PARAMETER[""false_easting"",2500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]","{""MultiPolygon"": 13, ""Polygon"": 19}",0.0,0.0,"{""maxx"": 4083063.0953, ""maxy"": 2349614.8717, ""minx"": 911292.0295, ""miny"": 319149.0625}",,,,,,,,True,True,True,True,,division_estatal,administrativo,entidades_federativas,capa_administrativa_de_referencia,corte_geoestadistico; confirmar version,no_directo,si,visualizacion_integration,alta,conservar,,sin_hallazgos,,"Capa útil para filtros, joins administrativos y mapas coropléticos. No debe tratarse como predictor ambiental directo."
00mun.shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\inegi\mg_2025_integrado\conjunto_de_datos\00mun.shp,mg_2025_integrado\conjunto_de_datos,SHP,vector,2478.0,4,,"PROJCS[""MEXICO_ITRF_2008_LCC"",GEOGCS[""ITRF2008"",DATUM[""International_Terrestrial_Reference_Frame_2008"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""1061""]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""latitude_of_origin"",12],PARAMETER[""central_meridian"",-102],PARAMETER[""standard_parallel_1"",17.5],PARAMETER[""standard_parallel_2"",29.5],PARAMETER[""false_easting"",2500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]","{""MultiPolygon"": 86, ""Polygon"": 2392}",0.0,0.0,"{""maxx"": 4083063.0953, ""maxy"": 2349614.8717, ""minx"": 911292.0295, ""miny"": 319149.0625}",,,,,,,,True,True,True,True,,division_municipal,administrativo,municipios,capa_administrativa_de_referencia,corte_geoestadistico; confirmar version,no_directo,si,visualizacion_integration,alta,conservar,,sin_hallazgos,,"Capa útil para filtros, joins administrativos y mapas coropléticos. No debe tratarse como predictor ambiental directo."
00a.shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\inegi\mg_2025_integrado\conjunto_de_datos\00a.shp,mg_2025_integrado\conjunto_de_datos,SHP,vector,82283.0,6,,"PROJCS[""MEXICO_ITRF_2008_LCC"",GEOGCS[""ITRF2008"",DATUM[""International_Terrestrial_Reference_Frame_2008"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""1061""]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""latitude_of_origin"",12],PARAMETER[""central_meridian"",-102],PARAMETER[""standard_parallel_1"",17.5],PARAMETER[""standard_parallel_2"",29.5],PARAMETER[""false_easting"",2500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]","{""MultiPolygon"": 258, ""Polygon"": 82025}",0.0,0.0,"{""maxx"": 4083063.0953, ""maxy"": 2349614.8717, ""minx"": 911292.0295, ""miny"": 319149.0625}",,,,,,,,True,True,True,True,,marco_geoestadistico,administrativo,localidades_o_area_geoestadistica,capa_administrativa_de_referencia,corte_geoestadistico; confirmar version,no_directo,si,visualizacion_contexto,media,conservar_si_aporta_a_consultas,,sin_hallazgos,,Puede servir para contexto territorial o consultas. Validar si realmente se usará en la aplicación para no cargar capas innecesarias.
00l.shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\inegi\mg_2025_integrado\conjunto_de_datos\00l.shp,mg_2025_integrado\conjunto_de_datos,SHP,vector,51766.0,6,,"PROJCS[""MEXICO_ITRF_2008_LCC"",GEOGCS[""ITRF2008"",DATUM[""International_Terrestrial_Reference_Frame_2008"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""1061""]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""latitude_of_origin"",12],PARAMETER[""central_meridian"",-102],PARAMETER[""standard_parallel_1"",17.5],PARAMETER[""standard_parallel_2"",29.5],PARAMETER[""false_easting"",2500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]","{""MultiPolygon"": 3612, ""Polygon"": 48154}",0.0,0.0,"{""maxx"": 4077189.4294, ""maxy"": 2349614.8717, ""minx"": 1071344.711, ""miny"": 321729.7953}",,,,,,,,True,True,True,True,,marco_geoestadistico,administrativo,localidades_o_area_geoestadistica,capa_administrativa_de_referencia,corte_geoestadistico; confirmar version,no_directo,si,visualizacion_contexto,media,conservar_si_aporta_a_consultas,,sin_hallazgos,,Puede servir para contexto territorial o consultas. Validar si realmente se usará en la aplicación para no cargar capas innecesarias.
00lpr.shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\inegi\mg_2025_integrado\conjunto_de_datos\00lpr.shp,mg_2025_integrado\conjunto_de_datos,SHP,vector,291933.0,8,,"PROJCS[""MEXICO_ITRF_2008_LCC"",GEOGCS[""ITRF2008"",DATUM[""International_Terrestrial_Reference_Frame_2008"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""1061""]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""latitude_of_origin"",12],PARAMETER[""central_meridian"",-102],PARAMETER[""standard_parallel_1"",17.5],PARAMETER[""standard_parallel_2"",29.5],PARAMETER[""false_easting"",2500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]","{""Point"": 291933}",0.0,0.0,"{""maxx"": 4082930.713244, ""maxy"": 2349220.413869, ""minx"": 915331.954143, ""miny"": 319549.402993}",,,,,,,,True,True,True,True,,marco_geoestadistico,administrativo,localidades_o_area_geoestadistica,capa_administrativa_de_referencia,corte_geoestadistico; confirmar version,no_directo,si,visualizacion_contexto,media,conservar_si_aporta_a_consultas,,sin_hallazgos,,Puede servir para contexto territorial o consultas. Validar si realmente se usará en la aplicación para no cargar capas innecesarias.
