tipo_fila,archivo,ruta,carpeta_relativa,formato,tipo_dato,registros,num_campos,campos_presentes,campos_tematicos_candidatos,campos_identificadores_candidatos,crs,epsg,geom_tipos,geom_vacias,geom_invalidas,bbox,raster_width,raster_height,raster_res_x,raster_res_y,raster_nodata,raster_dtype,raster_count,campo_nombre,campo_dtype_observado,campo_nulos,campo_nulos_pct,campo_unicos,campo_top_valores,campo_min_text_len,campo_max_text_len,campo_numeric_min,campo_numeric_max,campo_numeric_mean,raster_band,raster_valid_pixels,raster_nodata_pixels,raster_min,raster_max,raster_mean,shp_tiene_dbf,shp_tiene_shx,shp_tiene_prj,shp_tiene_cpg,shp_sidecars_faltantes,observaciones
archivo,cdv_edaf_esc_250k_serie II_cont_nac.shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\inegi\edafologia\conjunto_de_datos\cdv_edaf_esc_250k_serie II_cont_nac.shp,edafologia\conjunto_de_datos,SHP,vector,75491.0,25.0,"[""CLAVE_WRB"", ""GRUPO1"", ""CALIFS_G1"", ""CALIFP_G1"", ""GRUPO2"", ""CALIFS_G2"", ""CALIFP_G2"", ""GRUPO3"", ""CALIFS_G3"", ""CALIFP_G3"", ""CLASE_TEX"", ""FRUDICA"", ""N_G1"", ""N_CS_G1"", ""N_CP_G1"", ""N_G2"", ""N_CS_G2"", ""N_CP_G2"", ""N_G3"", ""N_CS_G3"", ""N_CP_G3"", ""TEXTURA"", ""F_SUPERF"", ""TIP_INFO"", ""CAL_POS""]","[""CLASE_TEX"", ""CLAVE_WRB""]","[""CLAVE_WRB""]",,,"{""Polygon"": 75491}",0.0,43.0,"{""maxx"": 4189413.374242, ""maxy"": 2410318.615033, ""minx"": 738315.578242, ""miny"": 248139.024133}",,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,.prj;.cpg,geom_invalidas=43; sin_crs; sidecars_faltantes=.prj;.cpg
campo,cdv_edaf_esc_250k_serie II_cont_nac.shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\inegi\edafologia\conjunto_de_datos\cdv_edaf_esc_250k_serie II_cont_nac.shp,edafologia\conjunto_de_datos,SHP,vector,75491.0,25.0,,,,,,,,,,,,,,,,,CLAVE_WRB,str,0.0,0.0,23962.0,"[[""CUERPO DE AGUA"", 6128], [""LOCALIDAD"", 4448], [""SCglso/1"", 221], [""RGcalep+LPcask/2R"", 215], [""CHccvr+VRpecc/3r"", 199], [""LPcali+LPrzsk/2R"", 199], [""RGeu+LPeuli/2"", 193], [""CLsklep+RGcalep/2r"", 188], [""LPmosk+LPskli/2R"", 177], [""CLha/2"", 176]]",6.0,28.0,,,,,,,,,,True,True,False,False,.prj;.cpg,
campo,cdv_edaf_esc_250k_serie II_cont_nac.shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\inegi\edafologia\conjunto_de_datos\cdv_edaf_esc_250k_serie II_cont_nac.shp,edafologia\conjunto_de_datos,SHP,vector,75491.0,25.0,,,,,,,,,,,,,,,,,GRUPO1,str,0.0,0.0,29.0,"[[""LP"", 15284], [""RG"", 10672], [""CL"", 8008], [""PH"", 7559], [""H2O"", 6128], [""VR"", 5332], [""LV"", 4891], [""ZU"", 4448], [""CM"", 2788], [""SC"", 1877]]",2.0,3.0,,,,,,,,,,True,True,False,False,.prj;.cpg,
campo,cdv_edaf_esc_250k_serie II_cont_nac.shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\inegi\edafologia\conjunto_de_datos\cdv_edaf_esc_250k_serie II_cont_nac.shp,edafologia\conjunto_de_datos,SHP,vector,75491.0,25.0,,,,,,,,,,,,,,,,,CALIFS_G1,str,0.0,0.0,77.0,"[[""N"", 17532], [""N/A"", 10673], [""ca"", 7532], [""sk"", 7397], [""eu"", 7226], [""hu"", 2698], [""cr"", 2393], [""ad"", 2389], [""lv"", 2076], [""skp"", 1681]]",1.0,3.0,,,,,,,,,,True,True,False,False,.prj;.cpg,
campo,cdv_edaf_esc_250k_serie II_cont_nac.shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\inegi\edafologia\conjunto_de_datos\cdv_edaf_esc_250k_serie II_cont_nac.shp,edafologia\conjunto_de_datos,SHP,vector,75491.0,25.0,,,,,,,,,,,,,,,,,CALIFP_G1,str,0.0,0.0,98.0,"[[""lep"", 12093], [""N/A"", 10673], [""li"", 6649], [""len"", 5420], [""sk"", 4821], [""ca"", 3635], [""eu"", 3130], [""ptp"", 2575], [""rz"", 2193], [""lv"", 1878]]",2.0,3.0,,,,,,,,,,True,True,False,False,.prj;.cpg,
campo,cdv_edaf_esc_250k_serie II_cont_nac.shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\inegi\edafologia\conjunto_de_datos\cdv_edaf_esc_250k_serie II_cont_nac.shp,edafologia\conjunto_de_datos,SHP,vector,75491.0,25.0,,,,,,,,,,,,,,,,,GRUPO2,str,0.0,0.0,27.0,"[[""LP"", 13823], [""N"", 12712], [""N/A"", 10673], [""RG"", 10364], [""PH"", 5956], [""CL"", 4066], [""VR"", 3669], [""LV"", 3573], [""CM"", 3192], [""FL"", 1689]]",1.0,3.0,,,,,,,,,,True,True,False,False,.prj;.cpg,
campo,cdv_edaf_esc_250k_serie II_cont_nac.shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\inegi\edafologia\conjunto_de_datos\cdv_edaf_esc_250k_serie II_cont_nac.shp,edafologia\conjunto_de_datos,SHP,vector,75491.0,25.0,,,,,,,,,,,,,,,,,CALIFS_G2,str,0.0,0.0,73.0,"[[""N"", 28611], [""N/A"", 10673], [""eu"", 6799], [""ca"", 6486], [""sk"", 4958], [""hu"", 2356], [""cr"", 2265], [""skp"", 1546], [""dy"", 1362], [""ad"", 1356]]",1.0,3.0,,,,,,,,,,True,True,False,False,.prj;.cpg,
campo,cdv_edaf_esc_250k_serie II_cont_nac.shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\inegi\edafologia\conjunto_de_datos\cdv_edaf_esc_250k_serie II_cont_nac.shp,edafologia\conjunto_de_datos,SHP,vector,75491.0,25.0,,,,,,,,,,,,,,,,,CALIFP_G2,str,0.0,0.0,93.0,"[[""N"", 12712], [""N/A"", 10673], [""lep"", 10249], [""li"", 5049], [""sk"", 5039], [""ca"", 4018], [""len"", 3483], [""eu"", 2737], [""rz"", 2352], [""ha"", 1496]]",1.0,3.0,,,,,,,,,,True,True,False,False,.prj;.cpg,
campo,cdv_edaf_esc_250k_serie II_cont_nac.shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\inegi\edafologia\conjunto_de_datos\cdv_edaf_esc_250k_serie II_cont_nac.shp,edafologia\conjunto_de_datos,SHP,vector,75491.0,25.0,,,,,,,,,,,,,,,,,GRUPO3,str,0.0,0.0,27.0,"[[""N"", 53084], [""N/A"", 10673], [""LP"", 3306], [""RG"", 2364], [""PH"", 1415], [""LV"", 968], [""VR"", 896], [""CM"", 875], [""FL"", 452], [""CL"", 438]]",1.0,3.0,,,,,,,,,,True,True,False,False,.prj;.cpg,
campo,cdv_edaf_esc_250k_serie II_cont_nac.shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\inegi\edafologia\conjunto_de_datos\cdv_edaf_esc_250k_serie II_cont_nac.shp,edafologia\conjunto_de_datos,SHP,vector,75491.0,25.0,,,,,,,,,,,,,,,,,CALIFS_G3,str,0.0,0.0,58.0,"[[""N"", 57045], [""N/A"", 10673], [""eu"", 1664], [""ca"", 1287], [""sk"", 1220], [""hu"", 779], [""cr"", 536], [""dy"", 431], [""skp"", 326], [""mz"", 222]]",1.0,3.0,,,,,,,,,,True,True,False,False,.prj;.cpg,
