categoria_du,decision_du,fase_uso,nivel_revision,num_archivos,prioridad_du,producto_inferido,tipo_resumen
administrativo,,,,5,,,por_categoria
ambiental,,,,4,,,por_categoria
elevacion,,,,1,,,por_categoria
,,,,1,,division_estatal,por_producto
,,,,1,,division_municipal,por_producto
,,,,1,,edafologia,por_producto
,,,,1,,elevacion,por_producto
,,,,1,,fisiografia,por_producto
,,,,1,,hidrografia,por_producto
,,,,3,,marco_geoestadistico,por_producto
,,,,1,,uso_suelo_vegetacion,por_producto
,,feature_engineering,,1,,,por_fase_uso
,,feature_engineering_visualizacion,,1,,,por_fase_uso
,,integration_feature_engineering,,3,,,por_fase_uso
,,visualizacion_contexto,,3,,,por_fase_uso
,,visualizacion_integration,,2,,,por_fase_uso
,conservar,,,4,,,por_decision_du
,conservar_revisar_calidad_revisar_geometrias,,,1,,,por_decision_du
,conservar_revisar_crs_geometrias_revisar_geometrias_revisar_sidecars_criticos,,,1,,,por_decision_du
,conservar_revisar_tamano_raster,,,1,,,por_decision_du
,conservar_si_aporta_a_consultas,,,3,,,por_decision_du
,,,alto,1,,,por_nivel_revision
,,,bajo,2,,,por_nivel_revision
,,,medio,2,,,por_nivel_revision
,,,sin_hallazgos,5,,,por_nivel_revision
,,,,4,alta,,por_prioridad
,,,,6,media,,por_prioridad
