tipo_fila,archivo,ruta,tamano_mb,ciclo_detectado,producto_detectado,hoja,clasificacion_hoja,nivel_agregacion_observado,n_filas,n_columnas,columnas,columnas_top_no_nulas,columnas_totalmente_vacias,columnas_candidatas_estado,columnas_candidatas_municipio,columnas_candidatas_coordenadas,columnas_candidatas_anio,columnas_candidatas_muestreo,columnas_candidatas_agregacion,utilidad_metodologica_preliminar,decision_preliminar_du,observaciones
archivo,DeforestacionNacional_2024.xlsx,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\infys\DeforestacionNacional_2024.xlsx,0.0591,2001-2024,deforestacion,,,,,2,"[""SuperficieDeforestadaNacional"", ""IncertidumbreNacional""]",[],[],[],[],[],[],[],[],revisar_utilidad,conservar_para_du,
hoja,DeforestacionNacional_2024.xlsx,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\infys\DeforestacionNacional_2024.xlsx,0.0591,2001-2024,deforestacion,SuperficieDeforestadaNacional,indicador_agregado,desconocido,841.0,4,"[""Gerencia de Sistema Nacional de Monitoreo Forestal, Junio 2025"", ""Unnamed: 1"", ""Unnamed: 2"", ""Unnamed: 3""]","[""Gerencia de Sistema Nacional de Monitoreo Forestal, Junio 2025"", ""Unnamed: 1"", ""Unnamed: 2"", ""Unnamed: 3""]",[],[],[],[],[],[],"[""Gerencia de Sistema Nacional de Monitoreo Forestal, Junio 2025""]",revisar_utilidad,conservar_para_du,nivel_agregacion_desconocido
hoja,DeforestacionNacional_2024.xlsx,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\infys\DeforestacionNacional_2024.xlsx,0.0591,2001-2024,deforestacion,IncertidumbreNacional,posible_indicador_agregado,desconocido,25.0,6,"[""Gerencia de Sistema Nacional de Monitoreo Forestal, Junio 2025"", ""Unnamed: 1"", ""Unnamed: 2"", ""Unnamed: 3"", ""Unnamed: 4"", ""Unnamed: 5""]","[""Gerencia de Sistema Nacional de Monitoreo Forestal, Junio 2025"", ""Unnamed: 1"", ""Unnamed: 2"", ""Unnamed: 3"", ""Unnamed: 4"", ""Unnamed: 5""]",[],[],[],[],[],[],"[""Gerencia de Sistema Nacional de Monitoreo Forestal, Junio 2025""]",revisar_utilidad,conservar_para_du,nivel_agregacion_desconocido
archivo,INFyS_Secciones_2004_2009.xlsx,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\infys\PIF_2004-2009\INFyS_Secciones_2004_2009.xlsx,76.9082,2004-2009,secciones,,,,,15,"[""Conglomerados"", ""Cobertura"", ""Cobertura_1m2"", ""Cuerpos_agua"", ""Diversidad_especie_estrato"", ""Epifitas"", ""Especies_NOM059"", ""Impactos_ambientales"", ""Incendios"", ""Repoblado_bosque"", ""Repoblado_otras_comunidades"", ""Repoblado_selva"", ""Vegetacion_menor"", ""Sitios"", ""Suelos""]",[],[],[],[],[],[],[],[],revisar_utilidad,conservar_para_du,
hoja,INFyS_Secciones_2004_2009.xlsx,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\infys\PIF_2004-2009\INFyS_Secciones_2004_2009.xlsx,76.9082,2004-2009,secciones,Conglomerados,detalle_muestreo,sitio_conglomerado,24630.0,34,"[""Conglomerado"", ""Anio"", ""Estado"", ""Municipio"", ""Formato"", ""Veg_prim_levantada"", ""Veg_sec_levanatda"", ""Veg_prim_esperada"", ""Veg_sec_esperada"", ""Tipo_cgl_estandar"", ""Monitoreo"", ""Muestreado"", ""Cubierta_Vegetal"", ""Tenencia"", ""Region_Hidrologica"", ""Cuenca"", ""SubCuenca"", ""Tipo_Subcuenca"", ""Cve_veg_SV"", ""Tipo_veg_SV"", ""Formacion_SV"", ""Sitios_x_cgl"", ""Sitio_1"", ""Sitio_2"", ""Sitio_3"", ""Sitio_4"", ""Latitud"", ""Longitud"", ""X"", ""Y"", ""Altitud"", ""Fisiografia"", ""Pendiente"", ""Uso_suelo_SCV""]","[""Conglomerado"", ""Anio"", ""Estado"", ""Municipio"", ""Formato"", ""Tipo_cgl_estandar"", ""Monitoreo"", ""Muestreado"", ""Cubierta_Vegetal"", ""Tenencia""]",[],"[""Estado""]","[""Municipio""]","[""Latitud"", ""Longitud"", ""Sitios_x_cgl""]","[""Anio""]","[""Conglomerado"", ""Muestreado"", ""Sitio_1"", ""Sitio_2"", ""Sitio_3"", ""Sitio_4"", ""Sitios_x_cgl""]","[""Formacion_SV""]",candidato_ml_posterior_o_contexto_geoespacial,conservar_para_du,
hoja,INFyS_Secciones_2004_2009.xlsx,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\infys\PIF_2004-2009\INFyS_Secciones_2004_2009.xlsx,76.9082,2004-2009,secciones,Cobertura,detalle_muestreo,estado_municipio,80169.0,8,"[""Conglomerado"", ""Anio"", ""Estado"", ""Municipio"", ""Formato"", ""porcRenuevo"", ""porcArbustos"", ""porcHierbas""]","[""Conglomerado"", ""Anio"", ""Estado"", ""Municipio"", ""Formato"", ""porcRenuevo"", ""porcArbustos"", ""porcHierbas""]",[],"[""Estado""]","[""Municipio""]",[],"[""Anio""]","[""Conglomerado""]",[],contexto_visualizacion_apoyo_descriptivo,conservar_para_du,
hoja,INFyS_Secciones_2004_2009.xlsx,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\infys\PIF_2004-2009\INFyS_Secciones_2004_2009.xlsx,76.9082,2004-2009,secciones,Cobertura_1m2,detalle_muestreo,estado_municipio,80189.0,15,"[""conglomerado"", ""Anio"", ""Estado"", ""Municipio"", ""NumSitio"", ""Porcen_Gramineas"", ""Porcen_Helechos"", ""Porcen_Musgos"", ""Porcen_Liquenes"", ""Porcen_Hierbas"", ""Porcen_Roca"", ""Porcen_Suelo_desnudo"", ""Porcen_Hojarasca"", ""Porcen_Piedras"", ""Porcen_Otros""]","[""conglomerado"", ""Anio"", ""Estado"", ""Municipio"", ""NumSitio"", ""Porcen_Gramineas"", ""Porcen_Helechos"", ""Porcen_Musgos"", ""Porcen_Liquenes"", ""Porcen_Hierbas""]",[],"[""Estado""]","[""Municipio""]",[],"[""Anio""]","[""NumSitio"", ""conglomerado""]",[],contexto_visualizacion_apoyo_descriptivo,conservar_para_du,
hoja,INFyS_Secciones_2004_2009.xlsx,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\infys\PIF_2004-2009\INFyS_Secciones_2004_2009.xlsx,76.9082,2004-2009,secciones,Cuerpos_agua,detalle_muestreo,estado_municipio,3931.0,14,"[""Conglomerado"", ""Anio"", ""Estado"", ""Municipio"", ""Nombre"", ""Tipo"", ""NivelContaminacion"", ""NivelAzolve"", ""NivelEutrofizacion"", ""NivelLirioAcuatico"", ""UsoActual"", ""X"", ""Y"", ""Datum""]","[""Conglomerado"", ""Anio"", ""Estado"", ""Municipio"", ""Nombre"", ""Tipo"", ""NivelContaminacion"", ""NivelAzolve"", ""NivelEutrofizacion"", ""NivelLirioAcuatico""]",[],"[""Estado""]","[""Municipio""]",[],"[""Anio""]","[""Conglomerado""]",[],contexto_visualizacion_apoyo_descriptivo,conservar_para_du,
hoja,INFyS_Secciones_2004_2009.xlsx,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\infys\PIF_2004-2009\INFyS_Secciones_2004_2009.xlsx,76.9082,2004-2009,secciones,Diversidad_especie_estrato,detalle_muestreo,estado_municipio,57407.0,32,"[""Conglomerado"", ""Anio"", ""Estado"", ""Municipio"", ""Estrato"", ""NumEspecies"", ""Familia_APG"", ""Genero_APG"", ""Especie_APG"", ""Categoria_Infra_APG"", ""Infra_APG"", ""NombreComun"", ""Familia_APG_cod1"", ""Genero_APG_cod1"", ""Especie_APG_cod1"", ""Categoria_Infra_APG_cod1"", ""Infra_APG_cod1"", ""NombreComun1"", ""NombreCientifico_APG_C1"", ""Familia_APG_cod2"", ""Genero_APG_cod2"", ""Especie_APG_cod2"", ""Categoria_Infra_APG_cod2"", ""Infra_APG_cod2"", ""NombreComun2"", ""NombreCientifico_APG_C2"", ""Especie_APG_cod3"", ""Categoria_Infra_APG_cod3"", ""Infra_APG_cod3"", ""NombreCientifico_APG_C3"", ""NombreComun3"", ""NombreCientifico_APG""]","[""Conglomerado"", ""Anio"", ""Estado"", ""Municipio"", ""Estrato"", ""NumEspecies"", ""Familia_APG"", ""Genero_APG"", ""NombreCientifico_APG"", ""Familia_APG_cod1""]",[],"[""Estado""]","[""Municipio""]",[],"[""Anio""]","[""Conglomerado""]",[],contexto_visualizacion_apoyo_descriptivo,conservar_para_du,
hoja,INFyS_Secciones_2004_2009.xlsx,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\infys\PIF_2004-2009\INFyS_Secciones_2004_2009.xlsx,76.9082,2004-2009,secciones,Epifitas,detalle_muestreo,estado_municipio,33266.0,7,"[""Conglomerado"", ""Anio"", ""Estado"", ""Municipio"", ""Tipo_Epifita"", ""Presencia_Troncos"", ""Presencia_Ramas""]","[""Conglomerado"", ""Anio"", ""Estado"", ""Municipio"", ""Tipo_Epifita"", ""Presencia_Troncos"", ""Presencia_Ramas""]",[],"[""Estado""]","[""Municipio""]",[],"[""Anio""]","[""Conglomerado""]",[],contexto_visualizacion_apoyo_descriptivo,conservar_para_du,
