estado_ruta,producto_carpeta,producto_normalizado,granularidad,archivo,ruta_relativa,id_estacion_archivo,extension,nombre_archivo_valido,validacion_nombre,uso_crisp_dm,decision,prioridad
Aguascalientes,diario,diario,diaria,dia01001.txt,Aguascalientes\diario\dia01001.txt,01001,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01003.txt,Aguascalientes\diario\dia01003.txt,01003,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01004.txt,Aguascalientes\diario\dia01004.txt,01004,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01005.txt,Aguascalientes\diario\dia01005.txt,01005,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01006.txt,Aguascalientes\diario\dia01006.txt,01006,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01007.txt,Aguascalientes\diario\dia01007.txt,01007,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01008.txt,Aguascalientes\diario\dia01008.txt,01008,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01009.txt,Aguascalientes\diario\dia01009.txt,01009,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01010.txt,Aguascalientes\diario\dia01010.txt,01010,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01011.txt,Aguascalientes\diario\dia01011.txt,01011,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01012.txt,Aguascalientes\diario\dia01012.txt,01012,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01013.txt,Aguascalientes\diario\dia01013.txt,01013,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01014.txt,Aguascalientes\diario\dia01014.txt,01014,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01015.txt,Aguascalientes\diario\dia01015.txt,01015,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01016.txt,Aguascalientes\diario\dia01016.txt,01016,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01017.txt,Aguascalientes\diario\dia01017.txt,01017,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01018.txt,Aguascalientes\diario\dia01018.txt,01018,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01019.txt,Aguascalientes\diario\dia01019.txt,01019,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01020.txt,Aguascalientes\diario\dia01020.txt,01020,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01021.txt,Aguascalientes\diario\dia01021.txt,01021,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01022.txt,Aguascalientes\diario\dia01022.txt,01022,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01023.txt,Aguascalientes\diario\dia01023.txt,01023,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01024.txt,Aguascalientes\diario\dia01024.txt,01024,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01025.txt,Aguascalientes\diario\dia01025.txt,01025,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01026.txt,Aguascalientes\diario\dia01026.txt,01026,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01027.txt,Aguascalientes\diario\dia01027.txt,01027,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01028.txt,Aguascalientes\diario\dia01028.txt,01028,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01029.txt,Aguascalientes\diario\dia01029.txt,01029,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01030.txt,Aguascalientes\diario\dia01030.txt,01030,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01031.txt,Aguascalientes\diario\dia01031.txt,01031,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01032.txt,Aguascalientes\diario\dia01032.txt,01032,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01033.txt,Aguascalientes\diario\dia01033.txt,01033,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01034.txt,Aguascalientes\diario\dia01034.txt,01034,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01035.txt,Aguascalientes\diario\dia01035.txt,01035,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01036.txt,Aguascalientes\diario\dia01036.txt,01036,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01041.txt,Aguascalientes\diario\dia01041.txt,01041,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01043.txt,Aguascalientes\diario\dia01043.txt,01043,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01045.txt,Aguascalientes\diario\dia01045.txt,01045,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01046.txt,Aguascalientes\diario\dia01046.txt,01046,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01047.txt,Aguascalientes\diario\dia01047.txt,01047,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01057.txt,Aguascalientes\diario\dia01057.txt,01057,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01062.txt,Aguascalientes\diario\dia01062.txt,01062,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01063.txt,Aguascalientes\diario\dia01063.txt,01063,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01073.txt,Aguascalientes\diario\dia01073.txt,01073,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01074.txt,Aguascalientes\diario\dia01074.txt,01074,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01075.txt,Aguascalientes\diario\dia01075.txt,01075,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
Aguascalientes,diario,diario,diaria,dia01076.txt,Aguascalientes\diario\dia01076.txt,01076,.txt,True,ok,candidato_ml,entra_a_du_dp_diario,alta
