estado_ruta,archivo,id_estacion,registros_en_periodo,faltantes_precip_mm,faltantes_evap_mm,faltantes_tmax_c,faltantes_tmin_c,sentinelas_texto_precip_mm,sentinelas_texto_evap_mm,sentinelas_texto_tmax_c,sentinelas_texto_tmin_c,sentinelas_numericos_precip_mm,sentinelas_numericos_evap_mm,sentinelas_numericos_tmax_c,sentinelas_numericos_tmin_c,no_numericos_precip_mm,no_numericos_evap_mm,no_numericos_tmax_c,no_numericos_tmin_c,filas_todas_variables_faltantes,inconsistencias_precip_negativa,inconsistencias_evap_negativa,inconsistencias_tmax_menor_tmin
Aguascalientes,dia01001.txt,01001,9061,20,128,94,94,20,128,94,94,0,0,0,0,0,0,0,0,18,0,0,0
Aguascalientes,dia01003.txt,01003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aguascalientes,dia01004.txt,01004,9068,0,35,5,5,0,35,5,5,0,0,0,0,0,0,0,0,0,0,0,0
Aguascalientes,dia01005.txt,01005,9130,3,61,17,17,3,61,17,17,0,0,0,0,0,0,0,0,3,0,0,0
Aguascalientes,dia01006.txt,01006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aguascalientes,dia01007.txt,01007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aguascalientes,dia01008.txt,01008,9131,14,76,32,32,14,76,32,32,0,0,0,0,0,0,0,0,14,0,0,0
Aguascalientes,dia01009.txt,01009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aguascalientes,dia01010.txt,01010,8643,0,500,4,4,0,500,4,4,0,0,0,0,0,0,0,0,0,0,0,0
Aguascalientes,dia01011.txt,01011,9100,2,20,4,4,2,20,4,4,0,0,0,0,0,0,0,0,0,0,0,0
Aguascalientes,dia01012.txt,01012,9126,41,29,21,21,41,29,21,21,0,0,0,0,0,0,0,0,11,0,0,0
Aguascalientes,dia01013.txt,01013,8794,15,112,22,22,15,112,22,22,0,0,0,0,0,0,0,0,10,0,0,0
Aguascalientes,dia01014.txt,01014,6498,93,377,209,209,93,377,209,209,0,0,0,0,0,0,0,0,91,0,0,0
Aguascalientes,dia01015.txt,01015,8994,1,119,4,4,1,119,4,4,0,0,0,0,0,0,0,0,1,0,0,0
Aguascalientes,dia01016.txt,01016,221,0,221,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aguascalientes,dia01017.txt,01017,9068,12,118,30,30,12,118,30,30,0,0,0,0,0,0,0,0,12,0,0,0
Aguascalientes,dia01018.txt,01018,9123,9,37,22,22,9,37,22,22,0,0,0,0,0,0,0,0,9,0,0,0
Aguascalientes,dia01019.txt,01019,9117,14,92,45,45,14,92,45,45,0,0,0,0,0,0,0,0,14,0,0,0
Aguascalientes,dia01020.txt,01020,9054,30,2501,71,71,30,2501,71,71,0,0,0,0,0,0,0,0,30,0,0,0
Aguascalientes,dia01021.txt,01021,8636,36,3884,18,18,36,3884,18,18,0,0,0,0,0,0,0,0,9,0,0,0
Aguascalientes,dia01022.txt,01022,8996,6,8566,24,24,6,8566,24,24,0,0,0,0,0,0,0,0,4,0,0,0
Aguascalientes,dia01023.txt,01023,7597,5,1320,13,13,5,1320,13,13,0,0,0,0,0,0,0,0,5,0,0,0
Aguascalientes,dia01024.txt,01024,8906,44,4955,32,32,44,4955,32,32,0,0,0,0,0,0,0,0,10,0,0,0
