estado_ruta,archivo,ruta_relativa,id_estacion_archivo,id_estacion_cabecera,nombre_estacion,estado_cabecera,municipio,situacion_operativa,cve_omm,latitud,longitud,altitud_msnm,encoding,cabecera_detectada,tabla_detectada,header_tokens,orden_esperado,id_archivo_vs_cabecera_ok,coord_dentro_bbox_mexico_aprox,fecha_min_historica,fecha_max_historica,fecha_min_periodo,fecha_max_periodo,registros_historicos,registros_en_periodo,fechas_invalidas,registros_fuera_periodo,dias_unicos_en_periodo,duplicados_fecha_en_periodo,nota
Aguascalientes,dia01001.txt,Aguascalientes\diario\dia01001.txt,01001,01001,AGUASCALIENTES (OBS),AGUASCALIENTES,AGUASCALIENTES,OPERANDO,76571,21.85027778,-102.2908333,1890.8,utf-8-sig,True,True,FECHA | PRECIP | EVAP | TMAX | TMIN,True,True,True,1878-01-01,2026-03-06,2001-01-01,2025-12-31,28418,9061,0,19357,9061,0,
Aguascalientes,dia01003.txt,Aguascalientes\diario\dia01003.txt,01003,01003,CALVILLO (SMN),AGUASCALIENTES,CALVILLO,SUSPENDIDA,,21.88333333,-102.7188889,1640.0,utf-8-sig,True,True,FECHA | PRECIP | EVAP | TMAX | TMIN,True,True,True,1932-01-01,1988-12-31,,,18487,0,0,18487,0,0,
Aguascalientes,dia01004.txt,Aguascalientes\diario\dia01004.txt,01004,01004,CAÑADA HONDA,AGUASCALIENTES,AGUASCALIENTES,OPERANDO,,22.00083333,-102.1988889,1925.0,utf-8-sig,True,True,FECHA | PRECIP | EVAP | TMAX | TMIN,True,True,True,1970-03-06,2025-12-31,2001-01-01,2025-12-31,20297,9068,0,11229,9068,0,
Aguascalientes,dia01005.txt,Aguascalientes\diario\dia01005.txt,01005,01005,PRESA EL NIAGARA,AGUASCALIENTES,AGUASCALIENTES,OPERANDO,,21.78055556,-102.3716667,1844.0,utf-8-sig,True,True,FECHA | PRECIP | EVAP | TMAX | TMIN,True,True,True,1957-04-03,2026-03-05,2001-01-01,2025-12-31,25158,9130,0,16028,9130,0,
Aguascalientes,dia01006.txt,Aguascalientes\diario\dia01006.txt,01006,01006,EL TULE (SMN),AGUASCALIENTES,ASIENTOS,SUSPENDIDA,,22.08166667,-102.0913889,1960.0,utf-8-sig,True,True,FECHA | PRECIP | EVAP | TMAX | TMIN,True,True,True,1941-12-01,1988-12-31,,,16997,0,0,16997,0,0,
Aguascalientes,dia01007.txt,Aguascalientes\diario\dia01007.txt,01007,01007,JESUS MARIA (SMN),AGUASCALIENTES,JESÚS MARÍA,SUSPENDIDA,,21.96222222,-102.3447222,1880.0,utf-8-sig,True,True,FECHA | PRECIP | EVAP | TMAX | TMIN,True,True,True,1941-01-01,1988-12-30,,,16916,0,0,16916,0,0,
Aguascalientes,dia01008.txt,Aguascalientes\diario\dia01008.txt,01008,01008,PUERTO DE LA CONCEPCION,AGUASCALIENTES,TEPEZALÁ,OPERANDO,,22.20277778,-102.135,2322.8,utf-8-sig,True,True,FECHA | PRECIP | EVAP | TMAX | TMIN,True,True,True,1959-07-15,2026-03-05,2001-01-01,2025-12-31,24340,9131,0,15209,9131,0,
Aguascalientes,dia01009.txt,Aguascalientes\diario\dia01009.txt,01009,01009,LA LABOR (SMN),AGUASCALIENTES,CALVILLO,SUSPENDIDA,,21.96222222,-102.6947222,1740.0,utf-8-sig,True,True,FECHA | PRECIP | EVAP | TMAX | TMIN,True,True,True,1944-01-01,1988-12-31,,,14981,0,0,14981,0,0,
Aguascalientes,dia01010.txt,Aguascalientes\diario\dia01010.txt,01010,01010,LA TINAJA,AGUASCALIENTES,SAN JOSÉ DE GRACIA,OPERANDO,,22.16444444,-102.5541667,2525.7,utf-8-sig,True,True,FECHA | PRECIP | EVAP | TMAX | TMIN,True,True,True,1961-08-01,2024-09-30,2001-01-01,2024-09-30,23038,8643,0,14395,8643,0,
Aguascalientes,dia01011.txt,Aguascalientes\diario\dia01011.txt,01011,01011,MALPASO,AGUASCALIENTES,CALVILLO,OPERANDO,,21.86,-102.6638889,1730.2,utf-8-sig,True,True,FECHA | PRECIP | EVAP | TMAX | TMIN,True,True,True,1949-03-19,2025-12-31,2001-01-01,2025-12-31,27958,9100,0,18858,9100,0,
Aguascalientes,dia01012.txt,Aguascalientes\diario\dia01012.txt,01012,01012,PRESA MEDIA LUNA,AGUASCALIENTES,CALVILLO,OPERANDO,,21.79444444,-102.8016667,1588.7,utf-8-sig,True,True,FECHA | PRECIP | EVAP | TMAX | TMIN,True,True,True,1970-07-13,2026-03-05,2001-01-01,2025-12-28,20279,9126,0,11153,9126,0,
