metrica,valor
tabular_registros,77423.0
tabular_clave_nula,0.0
tabular_clave_no_nula,77423.0
tabular_clave_unica_distinta,77423.0
tabular_registros_clave_duplicada,0.0
shp_puntos_total_registros,127333.0
shp_puntos_total_clave_nula,0.0
shp_puntos_total_clave_no_nula,127333.0
shp_puntos_total_clave_unica_distinta,127333.0
shp_puntos_total_registros_clave_duplicada,0.0
shp_puntos_comparable_registros,77697.0
shp_puntos_comparable_clave_nula,0.0
shp_puntos_comparable_clave_no_nula,77697.0
shp_puntos_comparable_clave_unica_distinta,77697.0
shp_puntos_comparable_registros_clave_duplicada,0.0
shp_puntos_fuera_periodo_2015_2025,49636.0
registros_match_total,81225.0
solo_tabular,3528.0
solo_shp,3802.0
match_en_ambos,73895.0
match_consistente_alto,69646.0
match_consistente_medio,3754.0
match_debil,299.0
match_conflictivo,196.0
fecha_inicio_consistente,73295.0
fecha_termino_consistente,73263.0
estado_consistente,46896.0
municipio_consistente,57906.0
predio_consistente,61860.0
superficie_consistente,65558.0
coordenadas_consistentes,66381.0
both_coordenadas_consistentes,66381.0
both_coordenadas_no_consistentes,7514.0
coordenadas_no_comparables,7330.0
coord_dist_deg_media,0.04526853447255475
coord_dist_deg_mediana,4.0445054945531316e-05
score_consistencia_medio,5.480566328100954
score_consistencia_min,0.0
score_consistencia_max,7.0
