metrica,valor
registros_integrados,81225
columnas_integradas,35
periodo_min,2015
periodo_max,2025
estado_integracion_both,73895
estado_integracion_solo_tabular,3528
estado_integracion_solo_shp,3802
clave_incendio_nula,0
duplicados_clave_incendio,0
fecha_inicio_nula,0
fecha_termino_nula,0
fechas_invertidas,0
latitud_nula,0
longitud_nula,0
cve_ent_nula,3802
cve_mun_nula,3277
clasificacion_match_consistente_alto,69646
clasificacion_match_consistente_medio,3754
clasificacion_match_debil,299
clasificacion_match_conflictivo,196
clasificacion_match_solo_tabular,3528
clasificacion_match_solo_shp,3802
