metrica,valor
registros_2015_2025_integrado,81225
registros_2005_2014_shp_historico,49609
registros_consolidado_2005_2025,130834
columnas_consolidado,35
periodo_min,2005
periodo_max,2025
fuera_periodo_2005_2025,0
clave_incendio_nula,0
duplicados_clave_incendio,0
fecha_inicio_nula,0
fecha_termino_nula,0
fechas_invertidas,101
latitud_nula,0
longitud_nula,0
coord_fuera_bbox_mexico,0
cve_ent_nula,0
cve_mun_nula,289
estado_integracion_both,73895
estado_integracion_historico_shp_2005_2014,49609
estado_integracion_solo_shp,3802
estado_integracion_solo_tabular,3528
clasificacion_match_match_consistente_alto,69646
clasificacion_match_historico_solo_shp,49609
clasificacion_match_solo_shp,3802
clasificacion_match_match_consistente_medio,3754
clasificacion_match_solo_tabular,3528
clasificacion_match_match_debil,299
clasificacion_match_match_conflictivo,196
