anio,clave_incendio,estado,municipio,cve_ent,cve_mun,fecha_inicio,fecha_termino,latitud,longitud,estado_integracion,clasificacion_match,flag_error_bloqueante,flag_advertencia,flag_apto_ml_espacial,flag_apto_agregacion_municipal,flag_apto_variables_duracion,motivos_qc
2017,17-07-0001,Chiapas,Arriaga,07,009,2016-12-30,2017-01-01,16.353472222222223,-94.0286111111111,both,match_consistente_alto,False,True,True,True,True,qc_anio_fecha_inicio_diferente
2016,16-07-0002,Chiapas,Villaflores,07,108,2015-12-31,2016-01-02,16.20613888888889,-93.51030555555556,both,match_consistente_alto,False,True,True,True,True,qc_anio_fecha_inicio_diferente
2025,25-08-0002,Chihuahua,Guachochi,08,027,2024-12-30,2025-01-04,27.07111111111111,-107.40555555555557,both,match_consistente_alto,False,True,True,True,True,qc_anio_fecha_inicio_diferente
2025,25-08-0001,Chihuahua,Guadalupe Y Calvo,08,029,2024-12-20,2025-01-04,26.016111111111112,-107.01388888888889,both,match_consistente_alto,False,True,True,True,True,qc_anio_fecha_inicio_diferente
2025,25-08-0007,Chihuahua,Guadalupe Y Calvo,08,029,2024-12-30,2025-01-02,26.19861111111112,-106.62638888888888,both,match_consistente_alto,False,True,True,True,True,qc_anio_fecha_inicio_diferente
2017,17-12-0001,Guerrero,Atenango Del Río,12,008,2016-12-29,2017-01-01,18.164655555555555,-98.908725,both,match_consistente_medio,False,True,True,True,True,qc_anio_fecha_inicio_diferente
2021,21-15-0001,México,Amecameca,15,009,2020-12-31,2021-01-01,19.11200833333333,-98.64048055555556,both,match_consistente_alto,False,True,True,True,True,qc_anio_fecha_inicio_diferente
2017,17-20-0001,Oaxaca,Magdalena Tequisistlán,20,052,2016-12-27,2017-01-04,16.184055555555556,-95.69869444444444,both,match_consistente_alto,False,True,True,True,True,qc_anio_fecha_inicio_diferente
2017,17-20-0003,Oaxaca,Putla Villa De Guerrero,20,073,2016-12-31,2017-01-02,17.000555555555554,-98.00722222222224,both,match_consistente_alto,False,True,True,True,True,qc_anio_fecha_inicio_diferente
2017,17-20-0002,Oaxaca,San Carlos Yautepec,20,125,2016-12-30,2017-01-05,16.141333333333332,-96.024,both,match_consistente_alto,False,True,True,True,True,qc_anio_fecha_inicio_diferente
2024,24-20-0001,Oaxaca,San Pedro Tapanatepec,20,327,2023-12-31,2024-01-07,16.2517167,-94.0491222,both,match_consistente_alto,False,True,True,True,True,qc_anio_fecha_inicio_diferente
2017,17-20-0114,Oaxaca,Santiago Matatlán,20,475,2016-12-27,2017-01-04,16.830544444444445,-96.36844722222222,both,match_debil,False,True,True,True,True,qc_anio_fecha_inicio_diferente
2022,22-21-0002,Puebla,Ahuacatlán,21,006,2021-12-31,2022-01-03,20.02175,-97.84477777777778,both,match_consistente_alto,False,True,True,True,True,qc_anio_fecha_inicio_diferente
2022,22-21-0001,Puebla,Tlachichuca,21,179,2021-12-31,2022-01-01,19.06925,-97.28069444444444,both,match_consistente_alto,False,True,True,True,True,qc_anio_fecha_inicio_diferente
2008,08-01-0016,Aguascalientes,Aguascalientes Y Jose Maria,01,,2008-04-13,2008-04-18,21.8824005,-102.4219971,historico_shp_2005_2014,historico_solo_shp,False,True,True,False,True,qc_cve_mun_nula
2008,08-01-0017,Aguascalientes,Aguascalientes Y Jose Maria,01,,2008-04-20,2008-04-23,21.8346004,-102.387001,historico_shp_2005_2014,historico_solo_shp,False,True,True,False,True,qc_cve_mun_nula
2005,05-02-0307,Baja California,Ensenada,02,001,2005-09-30,2005-09-29,31.9916,-116.7460022,historico_shp_2005_2014,historico_solo_shp,False,True,True,True,False,qc_fecha_invertida
2014,06-02-0023,Baja California,Ensenada,02,001,2014-02-11,2006-02-13,31.3334999,-115.8610001,historico_shp_2005_2014,historico_solo_shp,False,True,True,True,False,qc_fecha_invertida
2008,08-02-0104,Baja California,Tecate,02,003,2008-07-16,2008-07-08,32.5382996,-116.3720016,historico_shp_2005_2014,historico_solo_shp,False,True,True,True,False,qc_fecha_invertida
2008,08-04-0017,Campeche,Escárcega,04,009,2008-05-28,2008-05-05,18.3374004,-90.4326019,historico_shp_2005_2014,historico_solo_shp,False,True,True,True,False,qc_fecha_invertida
2013,13-07-0090,Chiapas,Belisario Dominguez,07,,2013-03-05,2013-03-06,16.5340004,-94.191803,historico_shp_2005_2014,historico_solo_shp,False,True,True,False,True,qc_cve_mun_nula
2013,13-07-0089,Chiapas,Belisario Dominguez,07,,2013-03-07,2013-03-08,16.5489998,-94.1975021,historico_shp_2005_2014,historico_solo_shp,False,True,True,False,True,qc_cve_mun_nula
2013,13-07-0407,Chiapas,Belisario Dominguez,07,,2013-05-21,2013-05-24,16.6856003,-94.1706009,historico_shp_2005_2014,historico_solo_shp,False,True,True,False,True,qc_cve_mun_nula
2012,12-07-0192,Chiapas,Belisario Domínguez,07,,2012-03-09,2012-03-13,16.5030994,-94.1520996,historico_shp_2005_2014,historico_solo_shp,False,True,True,False,True,qc_cve_mun_nula
2012,12-07-0050,Chiapas,Belisario Domínguez,07,,2012-03-19,2012-03-20,16.5459003,-94.1927032,historico_shp_2005_2014,historico_solo_shp,False,True,True,False,True,qc_cve_mun_nula
2007,07-07-0053,Chiapas,Cintalapa,07,017,2007-03-27,2007-03-02,16.0,-93.0,historico_shp_2005_2014,historico_solo_shp,False,True,True,True,False,qc_fecha_invertida
2007,07-07-0044,Chiapas,Cintalapa,07,017,2007-03-28,2007-03-01,16.0,-92.0,historico_shp_2005_2014,historico_solo_shp,False,True,True,True,False,qc_fecha_invertida
2007,07-07-0358,Chiapas,Cintalapa,07,017,2007-05-16,2007-05-13,26.0216007,-106.887001,historico_shp_2005_2014,historico_solo_shp,False,True,True,True,False,qc_fecha_invertida
2007,07-07-0094,Chiapas,Huixtla,07,040,2007-03-18,2007-03-16,17.0928001,-93.0233002,historico_shp_2005_2014,historico_solo_shp,False,True,True,True,False,qc_fecha_invertida
2008,08-07-0215,Chiapas,La Concordia/Chicomuselo,07,,2008-03-31,2008-04-08,16.0,-92.0,historico_shp_2005_2014,historico_solo_shp,False,True,True,False,True,qc_cve_mun_nula
2007,07-07-0256,Chiapas,San Juan Chamula,07,,2007-04-27,2007-04-27,17.0,-94.0,historico_shp_2005_2014,historico_solo_shp,False,True,True,False,True,qc_cve_mun_nula
2007,07-07-0414,Chiapas,San Juan Chamula,07,,2007-05-24,2007-05-25,17.0,-93.0,historico_shp_2005_2014,historico_solo_shp,False,True,True,False,True,qc_cve_mun_nula
2007,07-07-0041,Chiapas,Villa Corzo,07,107,2007-02-26,2007-01-02,16.0,-93.0,historico_shp_2005_2014,historico_solo_shp,False,True,True,True,False,qc_fecha_invertida
2008,08-07-0096,Chiapas,Villa De Acala,07,,2008-03-15,2008-03-16,16.0,-93.0,historico_shp_2005_2014,historico_solo_shp,False,True,True,False,True,qc_cve_mun_nula
2005,05-08-0056,Chihuahua,Balleza Y Guachochi,08,,2005-04-13,2005-04-13,27.0475006,-106.9629974,historico_shp_2005_2014,historico_solo_shp,False,True,True,False,True,qc_cve_mun_nula
2008,08-08-0550,Chihuahua,Bocoyna,08,009,2008-05-06,2008-04-28,27.6975002,-107.5859985,historico_shp_2005_2014,historico_solo_shp,False,True,True,True,False,qc_fecha_invertida
2008,08-08-0250,Chihuahua,Bocoyna,08,009,2008-06-21,2008-04-21,28.0142002,-107.6050034,historico_shp_2005_2014,historico_solo_shp,False,True,True,True,False,qc_fecha_invertida
2006,06-08-0155,Chihuahua,Villa Coronado,08,,2006-03-15,2006-03-16,26.4932995,-105.3539963,historico_shp_2005_2014,historico_solo_shp,False,True,True,False,True,qc_cve_mun_nula
2007,07-08-0147,Chihuahua,Álamos y Milpillas,08,,2007-04-21,2007-04-25,27.3689003,-108.6780014,historico_shp_2005_2014,historico_solo_shp,False,True,True,False,True,qc_cve_mun_nula
2008,08-05-0150,Coahuila De Zaragoza,Acuña,05,002,2008-06-15,2008-06-11,29.3167,-102.1669998,historico_shp_2005_2014,historico_solo_shp,False,True,True,True,False,qc_fecha_invertida
