metrica,valor
registros_entrada_consolidado,130834
registros_limpios_salida,130834
columnas_limpio_salida,41
registros_con_error_bloqueante,0
registros_con_advertencia,404
registros_aptos_ml_espacial,130834
registros_aptos_agregacion_municipal,130545
registros_aptos_variables_duracion,130733
qc_clave_incendio_nula,0
qc_clave_incendio_duplicada,0
qc_anio_nulo,0
qc_anio_fuera_periodo,0
qc_fecha_inicio_nula,0
qc_latitud_nula,0
qc_longitud_nula,0
qc_coord_fuera_bbox_mexico,0
qc_cve_ent_longitud_incorrecta,0
qc_cve_mun_longitud_incorrecta,0
qc_fecha_termino_nula,0
qc_fecha_invertida,101
qc_cve_ent_nula,0
qc_cve_mun_nula,289
qc_anio_fecha_inicio_diferente,14
qc_mojibake_visible,0
estado_integracion_both,73895
estado_integracion_historico_shp_2005_2014,49609
estado_integracion_solo_shp,3802
estado_integracion_solo_tabular,3528
clasificacion_match_match_consistente_alto,69646
clasificacion_match_historico_solo_shp,49609
clasificacion_match_solo_shp,3802
clasificacion_match_match_consistente_medio,3754
clasificacion_match_solo_tabular,3528
clasificacion_match_match_debil,299
clasificacion_match_match_conflictivo,196
