campo_canonico,campo_xlsx,campo_csv_2025,presente_xlsx,presente_csv_2025,derivable_csv_2025,tipo_homologacion
anio,ano,anio,True,True,False,renombrar
clave_incendio,clave_del_incendio,clave_incendio,True,True,False,renombrar
estado,estado,entidad,True,True,False,renombrar
cve_ent,cve_ent,cve_ent,True,True,False,directo_o_enriquecer
municipio,municipio,municipio,True,True,False,directo
cve_mun,cve_mun,cve_municipio,True,True,False,directo_o_enriquecer
region,region,crmf,True,True,False,renombrar
latitud,latitud,,True,False,True,derivar_o_conservar
longitud,longitud,,True,False,True,derivar_o_conservar
fecha_inicio,fecha_inicio,fecha_inicio,True,True,False,directo
fecha_termino,fecha_termino,fecha_liquidacion,True,True,False,renombrar
deteccion,deteccion,deteccion,True,True,False,directo
llegada,llegada,llegada,True,True,False,directo
duracion,duracion,duracion,True,True,False,directo
duracion_categoria,duracion_dias,categoria_duracion_dias,True,True,False,renombrar
causa,causa,posible_causa,True,True,False,renombrar
causa_especifica,causa_especifica,posible_causa_especifica,True,True,False,renombrar
predio,predio,predio_paraje,True,True,False,renombrar
regimen_fuego,regimen_de_fuego,regimen_fuego,True,True,False,renombrar
tipo_incendio,tipo_de_incendio,tipo_incendio,True,True,False,renombrar
tipo_impacto,tipo_impacto,clasf_primer_orden,True,True,False,renombrar
tipo_vegetacion,tipo_vegetacion,tipo_vegetacion,True,True,False,directo
superficie_total_ha,total_hectareas,total_ha,True,True,False,renombrar
superficie_categoria,tamano,clasificacion_sup_afectada,True,True,False,renombrar
arbolado_adulto,arbolado_adulto,arbolado_adulto,True,True,False,directo
arbustivo,arbustivo,arbustivo,True,True,False,directo
herbaceo,herbaceo,herbaceo,True,True,False,directo
hojarasca,hojarasca,hojarasca,True,True,False,directo
renuevo,renuevo,renuevo,True,True,False,directo
fuente,asignado_por_script,asignado_por_script,False,False,True,derivado
