fuente,anio,clave_incendio,estado,cve_ent,municipio,cve_mun,latitud,longitud,fecha_inicio,fecha_termino,deteccion,llegada,duracion,motivos_revision
estadisticasIncendiosForestales2015-2024,2015,15-02-0095,Baja California,02,Ensenada,001,,,2015-12-01,2015-12-02,00:05:00,00:49:00,23:40:00,coord_faltante
estadisticasIncendiosForestales2015-2024,2015,15-05-0021,Coahuila,05,Ocampo,023,,,2015-08-18,2015-08-19,00:10:00,16:00:00,22:00:00,coord_faltante
estadisticasIncendiosForestales2015-2024,2015,15-08-0003,Chihuahua,08,Chihuahua,019,,,2015-02-09,2015-02-09,00:05:00,00:10:00,03:00:00,coord_faltante
estadisticasIncendiosForestales2015-2024,2015,15-08-0008,Chihuahua,08,Chihuahua,019,,,2015-03-17,2015-03-17,00:25:00,01:20:00,11:00:00,coord_faltante
estadisticasIncendiosForestales2015-2024,2015,15-08-0014,Chihuahua,08,Guadalupe Y Calvo,029,,,2015-04-06,2015-04-06,00:10:00,01:00:00,04:30:00,coord_faltante
estadisticasIncendiosForestales2015-2024,2015,15-08-0016,Chihuahua,08,Ocampo,051,,,2015-04-06,2015-04-07,00:25:00,02:30:00,36:00:00,coord_faltante
estadisticasIncendiosForestales2015-2024,2015,15-08-0054,Chihuahua,08,Guadalupe Y Calvo,029,,,2015-04-24,2015-04-24,00:05:00,01:30:00,04:30:00,coord_faltante
estadisticasIncendiosForestales2015-2024,2015,15-08-0055,Chihuahua,08,Guadalupe Y Calvo,029,,,2015-04-27,2015-04-27,00:05:00,02:00:00,07:30:00,coord_faltante
estadisticasIncendiosForestales2015-2024,2015,15-08-0056,Chihuahua,08,Guadalupe Y Calvo,029,,,2015-04-27,2015-04-27,00:05:00,01:00:00,05:00:00,coord_faltante
estadisticasIncendiosForestales2015-2024,2015,15-08-0057,Chihuahua,08,Guadalupe Y Calvo,029,,,2015-04-24,2015-04-24,00:05:00,00:45:00,04:00:00,coord_faltante
estadisticasIncendiosForestales2015-2024,2015,15-08-0058,Chihuahua,08,Guadalupe Y Calvo,029,,,2015-04-26,2015-04-26,00:05:00,01:00:00,02:30:00,coord_faltante
estadisticasIncendiosForestales2015-2024,2015,15-08-0059,Chihuahua,08,Guadalupe Y Calvo,029,,,2015-04-17,2015-04-17,00:05:00,00:30:00,03:30:00,coord_faltante
estadisticasIncendiosForestales2015-2024,2015,15-08-0060,Chihuahua,08,Guadalupe Y Calvo,029,,,2015-04-28,2015-04-28,00:05:00,00:30:00,01:40:00,coord_faltante
estadisticasIncendiosForestales2015-2024,2015,15-08-0061,Chihuahua,08,Guadalupe Y Calvo,029,,,2015-04-30,2015-04-30,00:05:00,00:30:00,01:50:00,coord_faltante
