metrica,valor
registros_xlsx_2015_2024,71089
registros_csv_2025,7016
registros_entrada_total,78105
registros_con_incidencias,696
registros_invalidos_reales,682
registros_advertencia,14
registros_consolidados_validos,77423
columnas_consolidadas,30
registros_coord_faltante,680
registros_coord_fuera_bbox,2
clave_incendio_nula,0
anio_nulo,0
anio_fuera_rango,0
anio_fecha_inicio_diferente,14
fecha_inicio_nula,0
fecha_termino_nula,0
fecha_inconsistente,0
deteccion_hms_invalido,0
llegada_hms_invalido,0
duracion_hms_invalido,0
duplicados_anio_clave_incendio,0
cve_ent_nula_consolidado,0
cve_mun_nula_consolidado,0
