scope_type,scope_value,rows_loaded,rows_final,rows_removed_total,pct_removed_total,period_min,period_max,rows_missing_critical,rows_invalid_acq_date,rows_invalid_acq_time,rows_invalid_acq_datetime,rows_outside_project_period,rows_invalid_global_geo,rows_outside_mexico_bbox_aprox,rows_exact_duplicates,rows_logical_duplicates,top_source_file,top_source_product,top_product_family,top_satellite,top_instrument,top_version,top_confidence,top_daynight,top_type,notes
TOTAL,ALL_ARCHIVE,8304779,8304775,4,0.0,2001-01-01,2025-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,"[('fire_archive_SV-C2_686770.csv', 4192341), ('fire_archive_J1V-C2_686768.csv', 2360565), ('fire_archive_M-C61_686766.csv', 1675428), ('fire_archive_J1V-C2_723172.csv', 34268), ('fire_archive_SV-C2_723173.csv', 33482), ('fire_archive_M-C61_723052.csv', 8695)]","[('SUOMI_VIIRS_ARCHIVE', 4225823), ('J1_VIIRS_ARCHIVE', 2394833), ('MODIS_ARCHIVE', 1684123)]","[('SUOMI_VIIRS', 4225823), ('J1_VIIRS', 2394833), ('MODIS', 1684123)]","[('N', 4225823), ('N20', 2394833), ('Aqua', 879347), ('Terra', 804776)]","[('VIIRS', 6620656), ('MODIS', 1684123)]","[('2', 6620656), ('6.03', 1464091), ('61.03', 220032)]","[('n', 5439371), ('l', 811724), ('h', 369561), ('100', 80085), ('73', 37504), ('75', 37316), ('74', 37182), ('72', 37075), ('71', 36733), ('76', 36211)]","[('D', 5932399), ('N', 2372380)]","[('0', 7384931), ('2', 886537), ('3', 18711), ('1', 14600)]",Resumen global del Data Preparation de NASA FIRMS archive. El bbox de México es aproximado y solo reportable; no sustituye validación por polígono.
PRODUCT,J1_VIIRS_ARCHIVE,2394833,2394830,3,0.0001,2018-04-01,2025-12-31,,,,,,,,,,"[('fire_archive_J1V-C2_686768.csv', 2360562), ('fire_archive_J1V-C2_723172.csv', 34268)]","[('J1_VIIRS_ARCHIVE', 2394830)]","[('J1_VIIRS', 2394830)]","[('N20', 2394830)]","[('VIIRS', 2394830)]","[('2', 2394830)]","[('n', 1968100), ('l', 301802), ('h', 124928)]","[('D', 1606649), ('N', 788181)]","[('0', 2109390), ('2', 278777), ('3', 4448), ('1', 2215)]",Resumen por producto archive después de DP.
PRODUCT,MODIS_ARCHIVE,1684123,1684123,0,0.0,2001-01-01,2025-12-31,,,,,,,,,,"[('fire_archive_M-C61_686766.csv', 1675428), ('fire_archive_M-C61_723052.csv', 8695)]","[('MODIS_ARCHIVE', 1684123)]","[('MODIS', 1684123)]","[('Aqua', 879347), ('Terra', 804776)]","[('MODIS', 1684123)]","[('6.03', 1464091), ('61.03', 220032)]","[('100', 80085), ('73', 37504), ('75', 37316), ('74', 37182), ('72', 37075), ('71', 36733), ('76', 36211), ('70', 36203), ('77', 36110), ('69', 35838)]","[('D', 1407298), ('N', 276825)]","[('0', 1543786), ('2', 129219), ('3', 7523), ('1', 3595)]",Resumen por producto archive después de DP.
PRODUCT,SUOMI_VIIRS_ARCHIVE,4225823,4225822,1,0.0,2012-01-20,2025-12-31,,,,,,,,,,"[('fire_archive_SV-C2_686770.csv', 4192340), ('fire_archive_SV-C2_723173.csv', 33482)]","[('SUOMI_VIIRS_ARCHIVE', 4225822)]","[('SUOMI_VIIRS', 4225822)]","[('N', 4225822)]","[('VIIRS', 4225822)]","[('2', 4225822)]","[('n', 3471267), ('l', 509922), ('h', 244633)]","[('D', 2918448), ('N', 1307374)]","[('0', 3731751), ('2', 478541), ('1', 8790), ('3', 6740)]",Resumen por producto archive después de DP.
PRODUCT_FAMILY,J1_VIIRS,2394833,2394830,3,0.0001,2018-04-01,2025-12-31,,,,,,,,,,"[('fire_archive_J1V-C2_686768.csv', 2360562), ('fire_archive_J1V-C2_723172.csv', 34268)]","[('J1_VIIRS_ARCHIVE', 2394830)]","[('J1_VIIRS', 2394830)]","[('N20', 2394830)]","[('VIIRS', 2394830)]","[('2', 2394830)]","[('n', 1968100), ('l', 301802), ('h', 124928)]","[('D', 1606649), ('N', 788181)]","[('0', 2109390), ('2', 278777), ('3', 4448), ('1', 2215)]",Resumen por familia de producto después de DP.
PRODUCT_FAMILY,MODIS,1684123,1684123,0,0.0,2001-01-01,2025-12-31,,,,,,,,,,"[('fire_archive_M-C61_686766.csv', 1675428), ('fire_archive_M-C61_723052.csv', 8695)]","[('MODIS_ARCHIVE', 1684123)]","[('MODIS', 1684123)]","[('Aqua', 879347), ('Terra', 804776)]","[('MODIS', 1684123)]","[('6.03', 1464091), ('61.03', 220032)]","[('100', 80085), ('73', 37504), ('75', 37316), ('74', 37182), ('72', 37075), ('71', 36733), ('76', 36211), ('70', 36203), ('77', 36110), ('69', 35838)]","[('D', 1407298), ('N', 276825)]","[('0', 1543786), ('2', 129219), ('3', 7523), ('1', 3595)]",Resumen por familia de producto después de DP.
PRODUCT_FAMILY,SUOMI_VIIRS,4225823,4225822,1,0.0,2012-01-20,2025-12-31,,,,,,,,,,"[('fire_archive_SV-C2_686770.csv', 4192340), ('fire_archive_SV-C2_723173.csv', 33482)]","[('SUOMI_VIIRS_ARCHIVE', 4225822)]","[('SUOMI_VIIRS', 4225822)]","[('N', 4225822)]","[('VIIRS', 4225822)]","[('2', 4225822)]","[('n', 3471267), ('l', 509922), ('h', 244633)]","[('D', 2918448), ('N', 1307374)]","[('0', 3731751), ('2', 478541), ('1', 8790), ('3', 6740)]",Resumen por familia de producto después de DP.
YEAR,2001,25699,25699,0,0.0,2001-01-01,2001-12-31,,,,,,,,,,"[('fire_archive_M-C61_686766.csv', 25699)]","[('MODIS_ARCHIVE', 25699)]","[('MODIS', 25699)]","[('Terra', 25699)]","[('MODIS', 25699)]","[('6.03', 25699)]","[('100', 915), ('77', 606), ('75', 598), ('74', 578), ('78', 571), ('69', 569), ('73', 564), ('66', 553), ('76', 551), ('68', 550)]","[('D', 21948), ('N', 3751)]","[('0', 24044), ('2', 1334), ('3', 225), ('1', 96)]",Resumen anual del dataset preparado.
YEAR,2002,37342,37342,0,0.0,2002-01-01,2002-12-31,,,,,,,,,,"[('fire_archive_M-C61_686766.csv', 37342)]","[('MODIS_ARCHIVE', 37342)]","[('MODIS', 37342)]","[('Terra', 34098), ('Aqua', 3244)]","[('MODIS', 37342)]","[('6.03', 37342)]","[('100', 1431), ('72', 887), ('73', 867), ('77', 862), ('70', 837), ('71', 834), ('69', 826), ('74', 814), ('75', 807), ('68', 801)]","[('D', 30836), ('N', 6506)]","[('0', 34820), ('2', 1851), ('1', 396), ('3', 275)]",Resumen anual del dataset preparado.
YEAR,2003,84510,84510,0,0.0,2003-01-01,2003-12-31,,,,,,,,,,"[('fire_archive_M-C61_686766.csv', 84510)]","[('MODIS_ARCHIVE', 84510)]","[('MODIS', 84510)]","[('Aqua', 47393), ('Terra', 37117)]","[('MODIS', 84510)]","[('6.03', 84510)]","[('100', 3749), ('74', 1941), ('73', 1923), ('75', 1914), ('76', 1894), ('77', 1883), ('72', 1851), ('78', 1849), ('70', 1842), ('71', 1799)]","[('D', 73102), ('N', 11408)]","[('0', 81501), ('2', 2594), ('3', 293), ('1', 122)]",Resumen anual del dataset preparado.
