indicador,valor,estatus,observacion
municipio_dia_registros_insumo,11154221,ok,Registros de integracion_municipio_dia_base.csv usados como insumo.
catalogo_entidades_registros,32,ok,Entidades disponibles en catálogo de integración.
entidad_dia_registros,292146,ok,Registros generados en integracion_entidad_dia_base.csv.
entidades_unicas_base,32,ok,Entidades únicas presentes en la base entidad-día.
entidad_dia_fecha_min,2001-01-01,ok,Fecha mínima en base entidad-día.
entidad_dia_fecha_max,2025-12-31,ok,Fecha máxima en base entidad-día.
entidad_dia_duplicados_cve_ent_fecha,0,ok,Duplicados por clave cve_ent + fecha en base entidad-día.
entidad_dia_cve_ent_sin_catalogo,0,ok,Registros cuyo cve_ent no encontró correspondencia en catálogo de entidades.
entidad_dia_fuera_periodo_proyecto_2001_2025,0,ok,Registros fuera del periodo general del proyecto.
has_conafor_suma,42812,ok,Total de entidad-día con has_conafor=1.
has_firms_suma,189778,ok,Total de entidad-día con has_firms=1.
has_smn_suma,292036,ok,Total de entidad-día con has_smn=1.
control_suma_conafor_event_count,entidad=130834.0 | municipio=130834.0,ok,Control de consistencia: suma estatal debe coincidir con suma municipal.
control_suma_firms_count,entidad=8296912.0 | municipio=8296912.0,ok,Control de consistencia: suma estatal debe coincidir con suma municipal.
