bloque,archivo,indicador,valor,estatus,observacion
datasets_integracion,catalogo_entidades,archivo_existe,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\04_integration\datasets\integracion_catalogo_entidades.csv,ok,Archivo esperado encontrado.
datasets_integracion,catalogo_municipios,archivo_existe,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\04_integration\datasets\integracion_catalogo_municipios.csv,ok,Archivo esperado encontrado.
datasets_integracion,conafor_eventos_contexto,archivo_existe,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\04_integration\datasets\integracion_conafor_eventos_contexto.csv,ok,Archivo esperado encontrado.
datasets_integracion,conafor_municipio_dia,archivo_existe,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\04_integration\datasets\integracion_conafor_municipio_dia.csv,ok,Archivo esperado encontrado.
datasets_integracion,firms_puntos_contexto,archivo_existe,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\04_integration\datasets\integracion_firms_puntos_contexto.csv,ok,Archivo esperado encontrado.
datasets_integracion,firms_municipio_dia,archivo_existe,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\04_integration\datasets\integracion_firms_municipio_dia.csv,ok,Archivo esperado encontrado.
datasets_integracion,smn_estaciones_contexto,archivo_existe,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\04_integration\datasets\integracion_smn_estaciones_contexto.csv,ok,Archivo esperado encontrado.
datasets_integracion,smn_municipio_dia,archivo_existe,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\04_integration\datasets\integracion_smn_municipio_dia.csv,ok,Archivo esperado encontrado.
datasets_integracion,municipio_dia_base,archivo_existe,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\04_integration\datasets\integracion_municipio_dia_base.csv,ok,Archivo esperado encontrado.
datasets_integracion,entidad_dia_base,archivo_existe,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\04_integration\datasets\integracion_entidad_dia_base.csv,ok,Archivo esperado encontrado.
