columna,familia,dtype,dtype_general,n_null,null_pct,n_unique,unique_pct,es_constante,uso_sugerido,motivo,min,p25,median,mean,p75,max,std
firms_bright_t31_mean,firms,float64,numeric,102368,0.3504,111751,0.382518,0,candidata_modelado,variable numérica candidata para modelado,226.779,292.35150621118015,297.5209651162791,297.0727312063782,302.2333333333333,339.58500000000004,8.079137849216584
firms_brightness_mean,firms,float64,numeric,102368,0.3504,115985,0.39701,0,candidata_modelado,variable numérica candidata para modelado,234.994,317.63019230769237,326.2773475609756,325.37698534907423,333.47333333333336,401.8,11.00132500454686
firms_confidence_mean,firms,float64,numeric,152074,0.520541,15330,0.052474,0,candidata_modelado,variable numérica candidata para modelado,0.0,56.0,64.7741935483871,62.64169476166947,71.4,100.0,14.262847828167326
firms_count,firms,float64,numeric,0,0.0,1500,0.005134,0,candidata_modelado,variable numérica candidata para modelado,0.0,0.0,2.0,28.399882250655494,14.0,5285.0,110.70231205096601
firms_count_log1p,firms,float64,numeric,0,0.0,1500,0.005134,0,candidata_modelado,variable numérica candidata para modelado,0.0,0.0,1.0986122886681098,1.612276765245185,2.70805020110221,8.572817095164234,1.6564883877156107
firms_day_count,firms,float64,numeric,0,0.0,1220,0.004176,0,candidata_modelado,variable numérica candidata para modelado,0.0,0.0,1.0,20.288328438520466,9.0,3273.0,80.8365034481765
firms_day_count_log1p,firms,float64,numeric,0,0.0,1220,0.004176,0,candidata_modelado,variable numérica candidata para modelado,0.0,0.0,0.6931471805599453,1.369652659285157,2.302585092994046,8.09376775793108,1.5463544918110816
firms_frp_mean,firms,float64,numeric,102368,0.3504,108159,0.370222,0,candidata_modelado,variable numérica candidata para modelado,0.0,4.976372727272728,8.722057856673242,13.522993196574133,15.472742933049945,908.5800000000002,17.96862339204778
firms_frp_sum,firms,float64,numeric,0,0.0,73749,0.252439,0,candidata_modelado,variable numérica candidata para modelado,0.0,0.0,18.8,404.7279746085861,136.08,102988.16,1792.5411239015668
firms_frp_sum_log1p,firms,float64,numeric,0,0.0,66536,0.227749,0,candidata_modelado,variable numérica candidata para modelado,0.0,0.0,2.9856819377004897,2.9158004389018997,4.920564697006408,11.542379018954923,2.642795417098088
firms_night_count,firms,float64,numeric,0,0.0,709,0.002427,0,candidata_modelado,variable numérica candidata para modelado,0.0,0.0,0.0,8.111553812135028,4.0,2817.0,38.35442636972763
firms_night_count_log1p,firms,float64,numeric,0,0.0,709,0.002427,0,candidata_modelado,variable numérica candidata para modelado,0.0,0.0,0.0,0.859671831632491,1.6094379124341005,7.943782692458625,1.2686935779840793
