columna,familia,dtype,dtype_general,n_null,null_pct,n_unique,unique_pct,es_constante,uso_sugerido,motivo,min,p25,median,mean,p75,max,std
firms_count,firms,float64,numeric,0,0.0,7,0.00014,0,candidata_modelado,variable numérica candidata para modelado,0.0,0.0,0.0,0.01806,0.0,6.0,0.18279634758411833
firms_count_log1p,firms,float64,numeric,0,0.0,7,0.00014,0,candidata_modelado,variable numérica candidata para modelado,0.0,0.0,0.0,0.010689960042734445,0.0,1.9459101490553128,0.09940100209857397
firms_day_count,firms,float64,numeric,0,0.0,7,0.00014,0,candidata_modelado,variable numérica candidata para modelado,0.0,0.0,0.0,0.01554,0.0,6.0,0.16691035192974588
firms_day_count_log1p,firms,float64,numeric,0,0.0,7,0.00014,0,candidata_modelado,variable numérica candidata para modelado,0.0,0.0,0.0,0.009295737119049574,0.0,1.9459101490553128,0.09193869110732532
firms_frp_sum,firms,float64,numeric,0,0.0,344,0.00688,0,candidata_modelado,variable numérica candidata para modelado,0.0,0.0,0.0,0.3609,0.0,433.9,5.668450107086798
firms_frp_sum_log1p,firms,float64,numeric,0,0.0,341,0.00682,0,candidata_modelado,variable numérica candidata para modelado,0.0,0.0,0.0,0.03694265020911971,0.0,6.075116119603592,0.34177171358452724
firms_night_count,firms,float64,numeric,0,0.0,5,0.0001,0,candidata_modelado,variable numérica candidata para modelado,0.0,0.0,0.0,0.00252,0.0,5.0,0.06351165463602323
firms_night_count_log1p,firms,float64,numeric,0,0.0,5,0.0001,0,candidata_modelado,variable numérica candidata para modelado,0.0,0.0,0.0,0.0015589453672384473,0.0,1.791759469228055,0.0367692544602566
inegi_edafologia_area_total_km2,inegi,float64,numeric,0,0.0,1332,0.02664,0,candidata_modelado,variable numérica candidata para modelado,8.257651682338397,218.447331948038,497.3063361432872,1268.2007787085056,1265.5104291381324,34097.03664767411,2475.1318447209956
inegi_edafologia_dominante_area_km2,inegi,float64,numeric,0,0.0,1332,0.02664,0,candidata_modelado,variable numérica candidata para modelado,4.212608703436045,92.95604471783568,193.1198673875051,414.4473479125312,439.23632059580495,10790.413331004424,710.6715052828285
inegi_edafologia_dominante_prop_area,inegi,float64,numeric,0,0.0,1332,0.02664,0,candidata_modelado,variable numérica candidata para modelado,0.1067568955228083,0.2954031699855013,0.3839932627570602,0.4169846807752506,0.5038618826347269,1.0000007569107612,0.16808892146706816
inegi_edafologia_n_clases,inegi,int64,numeric,0,0.0,33,0.00066,0,candidata_modelado,variable numérica candidata para modelado,1.0,7.0,10.0,10.62588,13.0,36.0,5.301350423422907
inegi_fisiografia_area_total_km2,inegi,float64,numeric,0,0.0,1332,0.02664,0,candidata_modelado,variable numérica candidata para modelado,8.257650741808403,218.4470160469368,497.3055046956607,1268.073848800478,1265.514295773475,34097.244945074046,2475.1536368223124
