columna,familia,estrategia_imputacion,n_null_before,n_null_after,n_imputed,n_unique_before,n_unique_after
firms_bright_t31_mean,firms,zero_event_absence,102368,0,102368,111751,111752
firms_brightness_mean,firms,zero_event_absence,102368,0,102368,115985,115986
firms_confidence_mean,firms,zero_event_absence,152074,0,152074,15330,15330
firms_count,firms,zero_event_absence,0,0,0,1500,1500
firms_count_log1p,firms,zero_event_absence,0,0,0,1500,1500
firms_day_count,firms,zero_event_absence,0,0,0,1220,1220
firms_day_count_log1p,firms,zero_event_absence,0,0,0,1220,1220
firms_frp_mean,firms,zero_event_absence,102368,0,102368,108159,108159
firms_frp_sum,firms,zero_event_absence,0,0,0,73749,73749
firms_frp_sum_log1p,firms,zero_event_absence,0,0,0,66515,66515
firms_night_count,firms,zero_event_absence,0,0,0,709,709
firms_night_count_log1p,firms,zero_event_absence,0,0,0,709,709
entidad_area_km2_sum,inegi,median_by_entity_then_global,0,0,0,32,32
inegi_edafologia_area_total_km2,inegi,median_by_entity_then_global,0,0,0,32,32
inegi_edafologia_dominante_entidad_area_km2,inegi,median_by_entity_then_global,0,0,0,32,32
inegi_fisiografia_area_total_km2,inegi,median_by_entity_then_global,0,0,0,32,32
inegi_fisiografia_dominante_entidad_area_km2,inegi,median_by_entity_then_global,0,0,0,32,32
inegi_hidrografia_longitud_total_km,inegi,median_by_entity_then_global,9131,0,9131,31,31
inegi_hidrografia_n_segmentos_intersectados,inegi,median_by_entity_then_global,9131,0,9131,31,31
inegi_hidrografia_tipo_dominante_entidad_longitud_km,inegi,median_by_entity_then_global,9131,0,9131,31,31
inegi_uso_suelo_vegetacion_area_total_km2,inegi,median_by_entity_then_global,0,0,0,32,32
inegi_uso_suelo_vegetacion_dominante_entidad_area_km2,inegi,median_by_entity_then_global,0,0,0,32,32
infys_ind_composicion_derivado_punto_altitudc3_mean_20152020,infys,median_by_entity_then_global,0,0,0,32,32
infys_ind_composicion_derivado_punto_totalespecies_mean_20152020,infys,median_by_entity_then_global,0,0,0,32,32
infys_ind_dist_at_dn_alturatotal_mean_20152020,infys,median_by_entity_then_global,0,0,0,32,32
infys_ind_dist_at_dn_catdn10_mean_20152020,infys,median_by_entity_then_global,0,0,0,32,32
infys_ind_dist_at_dn_diametronormal_mean_20152020,infys,median_by_entity_then_global,0,0,0,32,32
infys_ind_estructura_maxat_mean_20152020,infys,median_by_entity_then_global,0,0,0,32,32
infys_ind_estructura_maxdn_mean_20152020,infys,median_by_entity_then_global,0,0,0,32,32
infys_ind_estructura_mediaat_mean_20152020,infys,median_by_entity_then_global,0,0,0,32,32
infys_ind_estructura_mediadn_mean_20152020,infys,median_by_entity_then_global,0,0,0,32,32
infys_ind_estructura_medianaat_mean_20152020,infys,median_by_entity_then_global,0,0,0,32,32
infys_ind_estructura_medianadn_mean_20152020,infys,median_by_entity_then_global,0,0,0,32,32
infys_ind_estructura_minat_mean_20152020,infys,median_by_entity_then_global,0,0,0,32,32
infys_ind_estructura_mindn_mean_20152020,infys,median_by_entity_then_global,0,0,0,32,32
infys_ind_estructura_n_mean_20152020,infys,median_by_entity_then_global,0,0,0,32,32
infys_ind_ima_imasubmuestra_mean_20152020,infys,median_by_entity_then_global,36523,0,36523,28,28
infys_ind_ima_sitiosxcglc3_mean_20152020,infys,median_by_entity_then_global,36523,0,36523,25,25
infys_ind_ima_submuestra_mean_20152020,infys,median_by_entity_then_global,36523,0,36523,28,28
infys_ind_ivi_ivf_estratonumerodetaxones_mean_20152020,infys,median_by_entity_then_global,0,0,0,32,32
infys_ind_ivi_ivf_estratototalderegistros_mean_20152020,infys,median_by_entity_then_global,0,0,0,32,32
infys_ind_ivi_ivf_estratoump_mean_20152020,infys,median_by_entity_then_global,0,0,0,32,32
infys_secc_cong_c2004_2009_derivado_mun_altitud_mean_20042009,infys,median_by_entity_then_global,9131,0,9131,31,31
infys_secc_cong_c2004_2009_derivado_mun_pendiente_mean_20042009,infys,median_by_entity_then_global,9131,0,9131,31,31
infys_secc_cong_c2004_2009_derivado_mun_sitio2_mean_20042009,infys,median_by_entity_then_global,9131,0,9131,31,31
infys_secc_cong_c2004_2009_derivado_mun_sitio3_mean_20042009,infys,median_by_entity_then_global,9131,0,9131,30,30
infys_secc_cong_c2004_2009_derivado_mun_sitio4_mean_20042009,infys,median_by_entity_then_global,9131,0,9131,31,31
infys_secc_cong_c2004_2009_derivado_mun_sitiosxcgl_mean_20042009,infys,median_by_entity_then_global,9131,0,9131,31,31
infys_secc_cong_c2009_2014_derivado_mun_altitud_mean_20092014,infys,median_by_entity_then_global,9131,0,9131,31,31
infys_secc_cong_c2009_2014_derivado_mun_pendietepromedio_mean_20092014,infys,median_by_entity_then_global,9131,0,9131,31,31
infys_secc_cong_c2009_2014_derivado_mun_sitio2_mean_20092014,infys,median_by_entity_then_global,9131,0,9131,30,30
infys_secc_cong_c2009_2014_derivado_mun_sitio3_mean_20092014,infys,median_by_entity_then_global,9131,0,9131,29,29
infys_secc_cong_c2009_2014_derivado_mun_sitio4_mean_20092014,infys,median_by_entity_then_global,9131,0,9131,30,30
infys_secc_cong_c2009_2014_derivado_mun_sitiosxcgl_mean_20092014,infys,median_by_entity_then_global,9131,0,9131,31,31
infys_secc_cong_c2015_2020_derivado_mun_consueloc3_mean_20152020,infys,median_by_entity_then_global,0,0,0,32,32
infys_secc_cong_c2015_2020_derivado_mun_sitiosxcglc3_mean_20152020,infys,median_by_entity_then_global,0,0,0,32,32
infys_secc_sitios_c2009_2014_derivado_mun_pendientec1_mean_20092014,infys,median_by_entity_then_global,9131,0,9131,31,31
infys_secc_sitios_c2009_2014_derivado_mun_pendientec2_mean_20092014,infys,median_by_entity_then_global,9131,0,9131,31,31
infys_secc_sitios_c2009_2014_derivado_mun_pendientec3_mean_20092014,infys,median_by_entity_then_global,9131,0,9131,31,31
infys_secc_sitios_c2009_2014_derivado_mun_pendientec4_mean_20092014,infys,median_by_entity_then_global,9131,0,9131,31,31
infys_secc_sitios_c2009_2014_derivado_mun_porcentajerepoblado_mean_20092014,infys,median_by_entity_then_global,9131,0,9131,31,31
infys_secc_sitios_c2015_2020_derivado_punto_conarboladoc3_mean_20152020,infys,median_by_entity_then_global,0,0,0,32,32
infys_secc_sitios_c2015_2020_derivado_punto_conarboladomanglarc3_mean_20152020,infys,median_by_entity_then_global,0,0,0,12,12
infys_secc_sitios_c2015_2020_derivado_punto_concobertura1m2c3_mean_20152020,infys,median_by_entity_then_global,0,0,0,29,29
infys_secc_sitios_c2015_2020_derivado_punto_confotografiahemisfericac3_mean_20152020,infys,median_by_entity_then_global,0,0,0,31,31
infys_secc_sitios_c2015_2020_derivado_punto_conparametrosfisicoquimicosc3_mean_20152020,infys,median_by_entity_then_global,0,0,0,17,17
infys_secc_sitios_c2015_2020_derivado_punto_consotobosquec3_mean_20152020,infys,median_by_entity_then_global,0,0,0,32,32
infys_secc_sitios_c2015_2020_derivado_punto_consubmuestrac3_mean_20152020,infys,median_by_entity_then_global,0,0,0,32,32
infys_secc_sitios_c2015_2020_derivado_punto_convegmayorgregariosc3_mean_20152020,infys,median_by_entity_then_global,0,0,0,17,17
infys_suelos_c2015_2020_base_concanalilloscanalesc3_mean_20152020,infys,median_by_entity_then_global,0,0,0,23,23
infys_suelos_c2015_2020_base_concarcavasc3_mean_20152020,infys,median_by_entity_then_global,0,0,0,23,23
infys_suelos_c2015_2020_base_concostrasc3_mean_20152020,infys,median_by_entity_then_global,0,0,0,19,19
infys_suelos_c2015_2020_base_coneedeformaciondelterrenoc3_mean_20152020,infys,median_by_entity_then_global,0,0,0,9,9
infys_suelos_c2015_2020_base_conehdeformaciondelterrenoc3_mean_20152020,infys,median_by_entity_then_global,0,0,0,26,26
infys_suelos_c2015_2020_base_conehsuperficialc3_mean_20152020,infys,median_by_entity_then_global,0,0,0,30,30
infys_suelos_c2015_2020_base_conerosionlaminarc3_mean_20152020,infys,median_by_entity_then_global,0,0,0,29,29
infys_suelos_c2015_2020_base_conmonticulosdunasc3_mean_20152020,infys,median_by_entity_then_global,0,0,0,9,9
infys_suelos_c2015_2020_base_conpavimentoerosionc3_mean_20152020,infys,median_by_entity_then_global,0,0,0,5,5
infys_suelos_c2015_2020_base_conpedestalc3_mean_20152020,infys,median_by_entity_then_global,0,0,0,23,23
infys_suelos_c2015_2020_base_porcentajependientedome_mean_20152020,infys,median_by_entity_then_global,0,0,0,32,32
infys_sup_base_superficieha_mean_noespecificado,infys,median_by_entity_then_global,0,0,0,32,32
infys_sup_c2015_2020_detalle_superficieha_mean_20152020,infys,median_by_entity_then_global,0,0,0,32,32
