columna,estrategia,global_imputation_value,sample_nulls,sample_null_pct,sample_non_nulls,used_zero_fallback
firms_count,zero_absence_signal,0.0,0,0.0,380000,False
firms_count_log1p,zero_absence_signal,0.0,0,0.0,380000,False
firms_day_count,zero_absence_signal,0.0,0,0.0,380000,False
firms_day_count_log1p,zero_absence_signal,0.0,0,0.0,380000,False
firms_frp_sum,zero_absence_signal,0.0,0,0.0,380000,False
firms_frp_sum_log1p,zero_absence_signal,0.0,0,0.0,380000,False
firms_night_count,zero_absence_signal,0.0,0,0.0,380000,False
firms_night_count_log1p,zero_absence_signal,0.0,0,0.0,380000,False
inegi_edafologia_area_total_km2,median_cve_ent_then_global,482.6250997153912,0,0.0,380000,False
inegi_edafologia_dominante_area_km2,median_cve_ent_then_global,190.47424721762388,0,0.0,380000,False
inegi_edafologia_dominante_prop_area,median_cve_ent_then_global,0.3866178618807833,0,0.0,380000,False
inegi_edafologia_n_clases,median_cve_ent_then_global,10.0,0,0.0,380000,False
inegi_fisiografia_area_total_km2,median_cve_ent_then_global,482.6251009520202,0,0.0,380000,False
inegi_fisiografia_dominante_area_km2,median_cve_ent_then_global,434.1526359678761,0,0.0,380000,False
inegi_fisiografia_dominante_prop_area,median_cve_ent_then_global,0.9999999999999972,0,0.0,380000,False
inegi_fisiografia_n_clases,median_cve_ent_then_global,1.0,0,0.0,380000,False
inegi_hidrografia_longitud_km_por_km2,median_cve_ent_then_global,0.3727357361839045,18739,0.04931315789473684,361261,False
inegi_hidrografia_longitud_total_km,median_cve_ent_then_global,185.0517097982571,18739,0.04931315789473684,361261,False
inegi_hidrografia_n_segmentos_intersectados,median_cve_ent_then_global,46.0,18739,0.04931315789473684,361261,False
inegi_hidrografia_tipo_dominante_longitud_km,median_cve_ent_then_global,175.83587120223928,18739,0.04931315789473684,361261,False
inegi_uso_suelo_vegetacion_area_total_km2,median_cve_ent_then_global,482.6251001800704,0,0.0,380000,False
inegi_uso_suelo_vegetacion_dominante_area_km2,median_cve_ent_then_global,169.7250160239327,0,0.0,380000,False
inegi_uso_suelo_vegetacion_dominante_prop_area,median_cve_ent_then_global,0.3588055249722538,0,0.0,380000,False
inegi_uso_suelo_vegetacion_n_clases,median_cve_ent_then_global,15.0,0,0.0,380000,False
municipio_area_km2,median_cve_ent_then_global,482.6251009546632,0,0.0,380000,False
infys_ind_composicion_altitudc3_mean_20152020,median_cve_ent_then_global,1392.4242424242425,100172,0.26361052631578946,279828,False
infys_ind_composicion_totalespecies_mean_20152020,median_cve_ent_then_global,15.583333333333334,100172,0.26361052631578946,279828,False
infys_secc_cong_c2004_2009_altitud_mean_20042009,median_cve_ent_then_global,1294.0,82898,0.21815263157894738,297102,False
infys_secc_cong_c2004_2009_pendiente_mean_20042009,median_cve_ent_then_global,22.5,82920,0.21821052631578947,297080,False
infys_secc_cong_c2004_2009_sitio2_mean_20042009,median_cve_ent_then_global,1.0,81235,0.21377631578947368,298765,False
infys_secc_cong_c2004_2009_sitio3_mean_20042009,median_cve_ent_then_global,1.0,81235,0.21377631578947368,298765,False
infys_secc_cong_c2004_2009_sitio4_mean_20042009,median_cve_ent_then_global,1.0,81235,0.21377631578947368,298765,False
infys_secc_cong_c2004_2009_sitiosxcgl_mean_20042009,median_cve_ent_then_global,3.769230769230769,79893,0.21024473684210526,300107,False
infys_secc_cong_c2009_2014_altitud_mean_20092014,median_cve_ent_then_global,1247.28,80085,0.21075,299915,False
infys_secc_cong_c2009_2014_pendietepromedio_mean_20092014,median_cve_ent_then_global,21.844444444444445,80325,0.21138157894736842,299675,False
infys_secc_cong_c2009_2014_sitio2_mean_20092014,median_cve_ent_then_global,1.0,81053,0.21329736842105262,298947,False
infys_secc_cong_c2009_2014_sitio3_mean_20092014,median_cve_ent_then_global,1.0,81053,0.21329736842105262,298947,False
infys_secc_cong_c2009_2014_sitio4_mean_20092014,median_cve_ent_then_global,1.0,81053,0.21329736842105262,298947,False
