component,component_number,explained_variance_ratio,explained_variance_pct,cumulative_variance_ratio,cumulative_variance_pct,eigenvalue
PC1,1,0.1945500889473048,19.45500889473049,0.1945500889473048,19.45500889473049,18.871423223752583
PC2,2,0.1417345602258069,14.173456022580693,0.3362846491731118,33.62846491731118,13.748299401590716
PC3,3,0.1107829769990917,11.078297699909175,0.4470676261722035,44.70676261722035,10.745985551840944
PC4,4,0.0709483430688568,7.094834306885681,0.5180159692410603,51.80159692410603,6.882012834437916
PC5,5,0.0665482096389427,6.654820963894277,0.5845641788800031,58.45641788800031,6.455198430773567
PC6,6,0.0612550700465309,6.125507004653091,0.645819248926534,64.5819248926534,5.9417621328448575
PC7,7,0.0414430988342185,4.14430988342185,0.6872623477607525,68.72623477607524,4.019994347143059
PC8,8,0.0341033681784908,3.4103368178490823,0.7213657159392433,72.13657159392433,3.308038036549416
PC9,9,0.0300424261821144,3.0042426182114474,0.7514081421213578,75.14081421213578,2.914125314558905
PC10,10,0.0260391014010051,2.6039101401005174,0.7774472435223629,77.74472435223629,2.525801481579764
PC11,11,0.0211945082329847,2.119450823298477,0.7986417517553477,79.86417517553477,2.055874335746507
PC12,12,0.0199250462159251,1.9925046215925115,0.8185667979712727,81.85667979712727,1.9327360985961743
PC13,13,0.0190699423290765,1.9069942329076544,0.8376367403003493,83.76367403003493,1.849790737654366
PC14,14,0.0159745214837253,1.5974521483725377,0.8536112617840746,85.36112617840746,1.5495338878922982
PC15,15,0.0150068271725174,1.5006827172517478,0.8686180889565921,86.86180889565921,1.455667218404584
PC16,16,0.013391952875847,1.3391952875847095,0.8820100418324391,88.20100418324391,1.2990238754458414
PC17,17,0.0112277320229637,1.122773202296372,0.8932377738554028,89.32377738554028,1.0890937341366014
PC18,18,0.0104028070465419,1.0402807046541984,0.9036405809019448,90.36405809019448,1.0090757375264054
