cluster_kmeans,n_observaciones,pct_observaciones,has_conafor_rate,has_firms_rate,has_smn_rate
1,2215258,0.19860266351186695,0.010303088850147477,0.11781787945241592,0.9597812083287816
2,2143076,0.1921313913360691,0.009021145307025975,0.11638784625463586,0.9591521719248407
3,1779448,0.15953135588760525,0.00812330565433775,0.12870676749194132,0.9359632874914018
4,1514204,0.1357516584977113,0.007178689265118835,0.08228944052452641,0.9615923613991245
5,1410173,0.12642505469454118,0.008347911922863365,0.15761470401149363,0.961274255002755
6,691830,0.062024053495084955,0.01184684098694766,0.10289232904037118,0.966056690227368
7,668685,0.05994905426385222,0.019074751190769942,0.23853832522039525,0.9584602615581328
8,327007,0.029316883716038977,0.005969291177253086,0.14821089456800618,0.9510408034078781
9,224258,0.020105213981325993,0.0012797759723175985,0.05448635054267852,0.9940782491594503
10,108145,0.00969543278728295,0.025216144990521983,0.2852836469554764,0.9746174118082205
11,72137,0.006467237828621112,0.006030192550286261,0.12118607649333907,0.9610324798647019
