etapa,configuracion,estado,pca_components_total,pca_components_90pct,pca_selected_components,pca_selected_variance_pct,decision,som_x,som_y,sigma,learning_rate,train_sample_size,metrics_sample_size,n_iterations,occupied_nodes,empty_nodes,occupied_nodes_pct,quantization_error,topographic_error,k,silhouette_score,davies_bouldin_score,calinski_harabasz_score,inertia,min_cluster_observations_pct,max_cluster_observations_pct,min_cluster_size,min_samples,n_clusters,noise_observations_pct,dbcv
pca,pca_18_componentes,ok,97.0,18.0,18.0,90.36405809019448,18_PCs_retenidas_por_90pct_varianza,,,,,,,,,,,,,,,,,,,,,,,,
som,som_sigma1_5_sample,ok,,,,,comparativo,30.0,30.0,1.5,0.5,100000.0,50000.0,500000.0,702.0,198.0,0.78,0.07274499672816956,0.0922,,,,,,,,,,,,
som,som_sigma2_sample,ok,,,,,comparativo,30.0,30.0,2.0,0.5,100000.0,50000.0,500000.0,705.0,195.0,0.7833333333333333,0.08042806402032734,0.04012,,,,,,,,,,,,
som,som_sigma2_full,ok,,,,,seleccionado_como_som_base,30.0,30.0,2.0,0.5,292146.0,292146.0,500000.0,695.0,205.0,0.7722222222222223,0.08118708512670891,0.04118488700855052,,,,,,,,,,,,
som_kmeans,kmeans_k4,ok,,,,,comparativo,,,,,,,,,,,,,4.0,0.2177028351015115,1.6763252400056692,140.57692096055416,36292.199525622505,0.0937647614548889,0.407234738794986,,,,,
som_kmeans,kmeans_k5,ok,,,,,comparativo,,,,,,,,,,,,,5.0,0.2969669486838328,1.237415454614467,135.24538302043788,32908.31953489056,0.0624721885632526,0.6561924517193458,,,,,
som_kmeans,kmeans_k6,ok,,,,,comparativo,,,,,,,,,,,,,6.0,0.2743473134107421,1.4909487489960436,143.0959689548132,28907.27393102392,0.0624721885632526,0.2787544583872447,,,,,
som_kmeans,kmeans_k7,ok,,,,,comparativo,,,,,,,,,,,,,7.0,0.2839445502352909,1.33431481378115,139.79455657496158,26077.473351766293,0.031254920484963,0.3601350009926543,,,,,
som_kmeans,kmeans_k8,ok,,,,,comparativo,,,,,,,,,,,,,8.0,0.2894607365659752,1.4183124029588638,143.63288872065044,23738.148865882667,0.031254920484963,0.2274273821993113,,,,,
som_kmeans,kmeans_k9,ok,,,,,seleccionado_como_candidato_principal,,,,,,,,,,,,,9.0,0.3184443552526374,1.31069997840489,143.3838056542041,21514.46376656973,0.031254920484963,0.2489987882770943,,,,,
som_kmeans,kmeans_k10,ok,,,,,comparativo,,,,,,,,,,,,,10.0,0.3068300349954913,1.3059521418990363,142.21074772911268,20281.72668706857,0.031254920484963,0.185533945356089,,,,,
som_hdbscan,hdbscan_mcs10_ms-1,ok,,,,,mejor_hdbscan_pero_no_principal,,,,,,,,,,,,,,0.5550524285902239,0.7163348053533222,266.429014992083,,,,10.0,-1.0,27.0,0.079929213475454,0.6120694123471028
som_hdbscan,hdbscan_mcs10_ms5,ok,,,,,comparativo,,,,,,,,,,,,,,0.5510587367999431,0.7180382426054793,270.52659932666734,,,,10.0,5.0,28.0,0.0261649996919348,0.6342381453933655
som_hdbscan,hdbscan_mcs10_ms10,ok,,,,,comparativo,,,,,,,,,,,,,,0.5550524285902239,0.7163348053533222,266.429014992083,,,,10.0,10.0,27.0,0.079929213475454,0.6120694123471028
