validacion,estado,detalle,valor_observado,valor_esperado
existe_base,OK,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\06_modeling\datasets\entidad_dia\modeling_entidad_dia_base.csv,,
existe_ids,OK,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\06_modeling\datasets\entidad_dia\modeling_entidad_dia_ids.csv,,
existe_scaled,OK,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\06_modeling\datasets\entidad_dia\modeling_entidad_dia_scaled.csv,,
existe_pca_view,OK,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\06_modeling\datasets\entidad_dia\modeling_entidad_dia_pca_clustering_view.csv,,
existe_diag,OK,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\06_modeling\reports\modeling_01_diagnostico_entidad_dia.csv,,
existe_imputacion,OK,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\06_modeling\reports\modeling_03_imputacion_entidad_dia.csv,,
existe_features,OK,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\06_modeling\reports\modeling_03_features_entidad_dia.csv,,
existe_pca_selected_components,OK,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\06_modeling\reports\modeling_05_componentes_pca_seleccionados_entidad_dia.csv,,
existe_cluster_profile_report,OK,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\06_modeling\reports\modeling_08_resumen_perfil_clusters_entidad_dia.csv,,
existe_comparison,OK,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\06_modeling\reports\modeling_10_comparacion_configuraciones_entidad_dia.csv,,
existe_decision,OK,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\06_modeling\reports\modeling_10_decision_modelo_candidato_entidad_dia.json,,
existe_pca_scores,OK,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\06_modeling\results\entidad_dia\pca\pca_scores.csv,,
existe_pca_variance,OK,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\06_modeling\results\entidad_dia\pca\pca_explained_variance.csv,,
existe_pca_loadings,OK,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\06_modeling\results\entidad_dia\pca\pca_loadings.csv,,
existe_pca_feature_contributions,OK,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\06_modeling\results\entidad_dia\pca\pca_feature_contributions.csv,,
existe_som_bmu,OK,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\06_modeling\results\entidad_dia\som_sigma2_full\som_bmu_assignments.csv,,
existe_som_weights,OK,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\06_modeling\results\entidad_dia\som_sigma2_full\som_weights.csv,,
existe_som_activation,OK,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\06_modeling\results\entidad_dia\som_sigma2_full\som_activation_map.csv,,
existe_som_u_matrix,OK,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\06_modeling\results\entidad_dia\som_sigma2_full\som_u_matrix.csv,,
existe_som_metrics,OK,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\06_modeling\results\entidad_dia\som_sigma2_full\som_metrics.json,,
existe_kmeans_comparison,OK,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\06_modeling\results\entidad_dia\som_kmeans\som_kmeans_comparison.csv,,
existe_kmeans_node_clusters,OK,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\06_modeling\results\entidad_dia\som_kmeans\som_kmeans_node_clusters.csv,,
existe_kmeans_observation_clusters,OK,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\06_modeling\results\entidad_dia\som_kmeans\som_kmeans_observation_clusters.csv,,
existe_kmeans_selected_metrics,OK,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\06_modeling\results\entidad_dia\som_kmeans\som_kmeans_selected_metrics.json,,
existe_kmeans_cluster_profile,OK,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\06_modeling\results\entidad_dia\som_kmeans\som_kmeans_cluster_profile.csv,,
existe_kmeans_feature_profile,OK,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\06_modeling\results\entidad_dia\som_kmeans\som_kmeans_feature_profile.csv,,
existe_kmeans_entity_distribution,OK,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\06_modeling\results\entidad_dia\som_kmeans\som_kmeans_cluster_entity_distribution.csv,,
existe_kmeans_month_distribution,OK,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\06_modeling\results\entidad_dia\som_kmeans\som_kmeans_cluster_month_distribution.csv,,
existe_hdbscan_comparison,OK,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\06_modeling\results\entidad_dia\som_hdbscan\som_hdbscan_comparison.csv,,
existe_hdbscan_node_clusters,OK,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\06_modeling\results\entidad_dia\som_hdbscan\som_hdbscan_node_clusters.csv,,
existe_hdbscan_observation_clusters,OK,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\06_modeling\results\entidad_dia\som_hdbscan\som_hdbscan_observation_clusters.csv,,
existe_hdbscan_selected_metrics,OK,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\06_modeling\results\entidad_dia\som_hdbscan\som_hdbscan_selected_metrics.json,,
existe_scaler_model,OK,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\06_modeling\models\entidad_dia\preprocessing\standard_scaler.joblib,,
existe_pca_model,OK,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\06_modeling\models\entidad_dia\pca\pca_model.joblib,,
existe_som_model,OK,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\06_modeling\models\entidad_dia\som_sigma2_full\som_model.joblib,,
existe_som_scaler,OK,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\06_modeling\models\entidad_dia\som_sigma2_full\som_minmax_scaler.joblib,,
existe_kmeans_model,OK,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\06_modeling\models\entidad_dia\som_kmeans\som_kmeans_model.joblib,,
existe_hdbscan_model,OK,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\06_modeling\models\entidad_dia\som_hdbscan\som_hdbscan_model.joblib,,
filas_base,OK,,292146,292146
filas_ids,OK,,292146,292146
filas_scaled,OK,,292146,292146
filas_pca_view,OK,,292146,292146
filas_pca_scores,OK,,292146,292146
filas_som_bmu,OK,,292146,292146
filas_kmeans_observation_clusters,OK,,292146,292146
filas_hdbscan_observation_clusters,OK,,292146,292146
columnas_scaled,OK,,97,97
componentes_pca_view,OK,,18,18
nulos_scaled,OK,,0,0
nulos_pca_view_pcs,OK,,0,0
pca_varianza_18pc,OK,,90.3641,>= 90
som_config_sigma,OK,,2.0,2.0
som_train_full,OK,,292146,292146
som_metrics_full,OK,,292146,292146
som_total_nodes,OK,,900,900
som_occupied_nodes_consistency,OK,,695,695
columnas_requeridas_kmeans_observation_clusters,OK,,,
kmeans_observaciones_sin_cluster,OK,,0,0
kmeans_n_clusters,OK,,9,9
kmeans_selected_k,OK,,9,9
kmeans_comparison_incluye_k9,OK,,,
columnas_requeridas_hdbscan_observation_clusters,OK,,,
hdbscan_observaciones_sin_etiqueta,OK,,0,0
hdbscan_n_etiquetas,OK,,28,>= 2
hdbscan_selected_clusters,OK,,27.0,>= 2
decision_modelo_candidato,OK,,PCA_18PCs__SOM_30x30_sigma2_full__KMeans_k9,contiene KMeans_k9
decision_nota_crisp_dm,OK,,,
