cluster_kmeans,mes,n_observaciones,pct_dentro_cluster
1,1,6200,0.08523039700868801
1,2,5627,0.07735345870449796
1,3,6168,0.08479049818541735
1,4,6017,0.08271472561310898
1,5,6380,0.08770482788958539
1,6,5907,0.08120257340811614
1,7,6064,0.08336082700978775
1,8,6079,0.08356702958319587
1,9,5930,0.0815187506873419
1,10,6178,0.08492796656768943
1,11,5997,0.08243978884856483
1,12,6197,0.08518915649400638
2,1,5425,0.08517285772600244
2,2,4942,0.07758972587684869
2,3,5416,0.08503155713253996
2,4,5225,0.08203284453794706
2,5,5271,0.0827550475711998
2,6,5222,0.08198574434012623
2,7,5422,0.08512575752818162
2,8,5425,0.08517285772600244
2,9,5246,0.08236254592269288
2,10,5425,0.08517285772600244
2,11,5250,0.08242534618645399
2,12,5425,0.08517285772600244
3,1,3102,0.08382650993109039
3,2,2844,0.07685447912444264
3,3,3142,0.08490744493987298
3,4,3005,0.0812052425347926
3,5,3071,0.08298878529928388
3,6,3123,0.08439400081070125
3,7,3239,0.0875287123361708
3,8,3219,0.08698824483177948
3,9,3072,0.08301580867450345
3,10,3123,0.08439400081070125
3,11,2985,0.0806647750304013
3,12,3080,0.08323199567625997
4,1,2323,0.08476246077501277
4,2,2119,0.077318835291542
4,3,2326,0.08487192585565205
4,4,2254,0.08224476392030942
4,5,2329,0.08498139093629133
4,6,2254,0.08224476392030942
4,7,2327,0.08490841421586513
4,8,2325,0.08483543749543895
4,9,2250,0.08209881047945705
4,10,2324,0.08479894913522586
4,11,2250,0.08209881047945705
4,12,2325,0.08483543749543895
5,1,2325,0.0848756981710656
5,2,2118,0.07731902310809331
5,3,2325,0.0848756981710656
5,4,2250,0.08213777242361187
5,5,2325,0.0848756981710656
5,6,2251,0.0821742781002446
5,7,2325,0.0848756981710656
5,8,2325,0.0848756981710656
5,9,2250,0.08213777242361187
5,10,2325,0.0848756981710656
5,11,2250,0.08213777242361187
5,12,2324,0.08483919249443289
6,1,1550,0.084880346092766
6,2,1412,0.07732325721482942
6,3,1549,0.08482558457915777
6,4,1500,0.0821422704123542
6,5,1550,0.084880346092766
6,6,1500,0.0821422704123542
6,7,1550,0.084880346092766
6,8,1550,0.084880346092766
6,9,1500,0.0821422704123542
6,10,1550,0.084880346092766
6,11,1500,0.0821422704123542
6,12,1550,0.084880346092766
7,1,1550,0.084880346092766
7,2,1412,0.07732325721482942
7,3,1550,0.084880346092766
7,4,1499,0.08208750889874596
7,5,1550,0.084880346092766
7,6,1500,0.0821422704123542
7,7,1550,0.084880346092766
7,8,1550,0.084880346092766
7,9,1500,0.0821422704123542
7,10,1550,0.084880346092766
7,11,1500,0.0821422704123542
7,12,1550,0.084880346092766
8,1,1550,0.08492685332310558
8,2,1412,0.07736562380143554
8,3,1549,0.08487206180483262
8,4,1500,0.08218727740945701
8,5,1549,0.08487206180483262
8,6,1493,0.08180373678154622
8,7,1548,0.08481727028655964
8,8,1550,0.08492685332310558
8,9,1500,0.08218727740945701
8,10,1550,0.08492685332310558
8,11,1500,0.08218727740945701
8,12,1550,0.08492685332310558
9,1,775,0.0848756981710656
9,2,706,0.07731902310809331
9,3,775,0.0848756981710656
9,4,750,0.08213777242361187
9,5,775,0.0848756981710656
9,6,750,0.08213777242361187
9,7,775,0.0848756981710656
9,8,775,0.0848756981710656
9,9,750,0.08213777242361187
9,10,775,0.0848756981710656
9,11,750,0.08213777242361187
9,12,775,0.0848756981710656
