cluster_kmeans,cve_ent,nom_ent,n_observaciones,total_cluster,pct_dentro_cluster
1,14,Jalisco,206570,2215258,0.09324873220184737
1,12,Guerrero,194216,2215258,0.08767195514021392
1,16,Michoacán de Ocampo,162650,2215258,0.07342259908326705
1,21,Puebla,145365,2215258,0.06561989619267823
1,15,México,141055,2215258,0.06367429888527656
1,07,Chiapas,138653,2215258,0.06259000080351815
1,24,San Luis Potosí,133599,2215258,0.06030855096787823
1,20,Oaxaca,133314,2215258,0.060179897781657936
1,30,Veracruz de Ignacio de la Llave,124641,2215258,0.05626477818836451
1,32,Zacatecas,123074,2215258,0.05555741137149713
1,13,Hidalgo,110536,2215258,0.0498975740071811
1,11,Guanajuato,98924,2215258,0.04465574664440891
1,26,Sonora,74975,2215258,0.03384481626970764
1,17,Morelos,63256,2215258,0.028554687535266774
1,28,Tamaulipas,60073,2215258,0.02711783458179589
1,19,Nuevo León,59720,2215258,0.02695848519675812
1,10,Durango,56310,2215258,0.025419161108999493
1,22,Querétaro,30117,2215258,0.013595256173321572
1,31,Yucatán,25993,2215258,0.011733621997979468
1,08,Chihuahua,25528,2215258,0.011523714167830565
1,25,Sinaloa,25466,2215258,0.011495726457144044
1,01,Aguascalientes,18546,2215258,0.008371936812777564
1,18,Nayarit,15533,2215258,0.007011824356350367
1,06,Colima,14710,2215258,0.006640310067721231
1,05,Coahuila de Zaragoza,13338,2215258,0.006020969115109843
1,04,Campeche,5614,2215258,0.0025342420611955806
1,02,Baja California,4051,2215258,0.0018286809030821692
1,29,Tlaxcala,3521,2215258,0.0015894311181812682
1,09,Ciudad de México,3252,2215258,0.0014680005669768488
1,27,Tabasco,1569,2215258,0.0007082696462443652
1,23,Quintana Roo,1028,2215258,0.00046405429977004937
1,03,Baja California Sur,61,2215258,2.753629599802822e-05
2,14,Jalisco,199615,2143076,0.09314415354378473
2,12,Guerrero,194207,2143076,0.09062067794142625
2,16,Michoacán de Ocampo,135481,2143076,0.06321801000057861
2,20,Oaxaca,134553,2143076,0.06278498755993721
2,24,San Luis Potosí,127224,2143076,0.05936513684069067
2,15,México,123422,2143076,0.057591051367287024
2,32,Zacatecas,122988,2143076,0.057388538717245675
2,07,Chiapas,121748,2143076,0.05680993114569899
2,21,Puebla,121474,2143076,0.05668207753714754
2,30,Veracruz de Ignacio de la Llave,115279,2143076,0.05379137277446064
2,11,Guanajuato,98618,2143076,0.04601703346031592
2,13,Hidalgo,97910,2143076,0.04568666720172313
2,26,Sonora,89472,2143076,0.04174933600114975
2,28,Tamaulipas,75696,2143076,0.03532119252886972
2,17,Morelos,62686,2143076,0.02925047921772256
2,19,Nuevo León,58436,2143076,0.027267348428147205
2,10,Durango,50368,2143076,0.023502666261019208
2,31,Yucatán,31938,2143076,0.014902877919401833
2,08,Chihuahua,31171,2143076,0.014544981139259644
2,22,Querétaro,29012,2143076,0.013537550698155362
2,01,Aguascalientes,27615,2143076,0.012885683942146708
2,18,Nayarit,23076,2143076,0.010767700258880226
2,25,Sinaloa,22034,2143076,0.01028148325117728
2,05,Coahuila de Zaragoza,14294,2143076,0.006669852119103569
2,06,Colima,13052,2143076,0.006090311309538253
2,04,Campeche,9188,2143076,0.004287295457557268
2,02,Baja California,5181,2143076,0.0024175530872446896
2,29,Tlaxcala,3981,2143076,0.0018576102760704707
2,09,Ciudad de México,2233,2143076,0.0010419602477933587
2,23,Quintana Roo,603,2143076,0.00028137126261504493
2,27,Tabasco,504,2143076,0.00023517598069317186
2,03,Baja California Sur,17,2143076,7.932523158301432e-06
3,31,Yucatán,245069,1779448,0.137721922753573
3,15,México,244129,1779448,0.13719366904792948
3,30,Veracruz de Ignacio de la Llave,214657,1779448,0.1206312294599224
