cve_ent,cluster_id,n_observaciones,dias_con_conafor,firms_total,cluster_label,cluster_name,nivel_actividad_firms,nivel_confirmacion_conafor,nivel_cobertura_smn,color_sugerido,orden_visualizacion
1,3,9131,617,14368.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2,1,3,3,5219.0,Cluster 1,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Alta,#B91C1C,1
2,4,9128,2024,93729.0,Cluster 4,Actividad térmica intermedia,Media,Media,Baja,#D97706,3
3,4,9131,221,11328.0,Cluster 4,Actividad térmica intermedia,Media,Media,Baja,#D97706,3
4,5,9130,353,802728.0,Cluster 5,Actividad térmica intermedia,Media,Baja,Baja,#D97706,3
5,4,1,0,26.0,Cluster 4,Actividad térmica intermedia,Media,Media,Baja,#D97706,3
5,8,9130,932,137316.0,Cluster 8,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Alta,#B91C1C,1
6,3,9127,740,51254.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
7,1,9131,2018,763030.0,Cluster 1,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Alta,#B91C1C,1
8,1,4,4,13509.0,Cluster 1,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Alta,#B91C1C,1
8,4,6,0,23.0,Cluster 4,Actividad térmica intermedia,Media,Media,Baja,#D97706,3
8,8,9121,2454,401875.0,Cluster 8,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Alta,#B91C1C,1
9,7,9131,2202,6432.0,Cluster 7,Baja actividad térmica con alta cobertura meteorológica,Baja,Alta,Alta,#2563EB,4
10,1,16,16,22132.0,Cluster 1,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Alta,#B91C1C,1
10,2,9115,1877,314055.0,Cluster 2,Actividad térmica intermedia,Media,Media,Alta,#D97706,3
11,1,2,0,792.0,Cluster 1,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Alta,#B91C1C,1
11,2,9129,638,142834.0,Cluster 2,Actividad térmica intermedia,Media,Media,Alta,#D97706,3
12,1,9131,1945,831686.0,Cluster 1,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Alta,#B91C1C,1
13,1,1,1,8.0,Cluster 1,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Alta,#B91C1C,1
13,6,9130,1121,78375.0,Cluster 6,Baja actividad térmica con alta cobertura meteorológica,Baja,Media,Alta,#2563EB,4
14,1,179,179,160745.0,Cluster 1,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Alta,#B91C1C,1
14,2,8952,2812,430890.0,Cluster 2,Actividad térmica intermedia,Media,Media,Alta,#D97706,3
15,1,9130,2707,106452.0,Cluster 1,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Alta,#B91C1C,1
15,4,1,1,1.0,Cluster 4,Actividad térmica intermedia,Media,Media,Baja,#D97706,3
16,1,8556,2700,532869.0,Cluster 1,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Alta,#B91C1C,1
16,3,575,31,1350.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
17,1,9131,1445,43993.0,Cluster 1,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Alta,#B91C1C,1
18,1,49,42,38369.0,Cluster 1,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Alta,#B91C1C,1
18,3,9041,1020,231933.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
19,1,12,1,1688.0,Cluster 1,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Alta,#B91C1C,1
19,2,9115,594,110725.0,Cluster 2,Actividad térmica intermedia,Media,Media,Alta,#D97706,3
19,4,4,0,111.0,Cluster 4,Actividad térmica intermedia,Media,Media,Baja,#D97706,3
20,1,9131,1826,505225.0,Cluster 1,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Alta,#B91C1C,1
21,1,9130,2117,94541.0,Cluster 1,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Alta,#B91C1C,1
21,4,1,1,9.0,Cluster 4,Actividad térmica intermedia,Media,Media,Baja,#D97706,3
