anio,mes,n_observaciones,dias_con_conafor,firms_total,cluster_label,cluster_name,nivel_actividad_firms,nivel_confirmacion_conafor,nivel_cobertura_smn,color_sugerido,orden_visualizacion
2001,1,992,0,691.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2001,2,896,0,799.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2001,3,992,0,2249.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2001,4,960,0,8973.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2001,5,992,0,8892.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2001,6,960,0,993.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2001,7,992,0,612.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2001,8,992,0,398.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2001,9,960,0,317.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2001,10,992,0,309.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2001,11,960,0,763.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2001,12,992,0,674.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2002,1,992,0,978.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2002,2,896,0,784.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2002,3,992,0,1428.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2002,4,960,0,10197.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2002,5,992,0,15114.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2002,6,960,0,2429.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2002,7,992,0,1274.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2002,8,992,0,970.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2002,9,960,0,700.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2002,10,992,0,665.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2002,11,960,0,948.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2002,12,992,0,1815.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2003,1,992,0,1406.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2003,2,896,0,2328.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2003,3,992,0,9268.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2003,4,960,0,19825.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2003,5,992,0,39681.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2003,6,960,0,5272.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2003,7,992,0,1706.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2003,8,992,0,723.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2003,9,960,0,490.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2003,10,992,0,585.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2003,11,960,0,1058.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2003,12,992,0,2067.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2004,1,992,0,1333.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2004,2,928,0,2728.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2004,3,992,0,3395.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2004,4,960,0,12822.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2004,5,992,0,16468.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2004,6,960,0,2838.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2004,7,992,0,1400.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2004,8,992,0,1133.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2004,9,960,0,781.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2004,10,992,0,783.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2004,11,960,0,1963.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2004,12,992,0,2524.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2005,1,992,82,3067.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2005,2,896,118,2570.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2005,3,992,292,9232.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2005,4,960,371,24424.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2005,5,992,337,31864.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2005,6,960,244,10695.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2005,7,992,50,1688.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2005,8,992,24,713.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2005,9,960,25,729.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2005,10,992,14,586.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2005,11,960,11,1805.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2005,12,992,13,1878.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2006,1,992,123,2599.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2006,2,896,198,2843.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2006,3,992,301,4828.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2006,4,960,336,18471.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2006,5,992,273,25151.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2006,6,960,90,3811.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2006,7,992,25,904.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2006,8,992,18,656.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
2006,9,960,17,863.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
