id_observacion,fecha,anio,mes,cve_ent,cve_mun,cvegeo,cluster_id,cluster_label,cluster_name,descripcion_corta,nivel_actividad_firms,nivel_confirmacion_conafor,nivel_cobertura_smn,has_firms,has_conafor,has_smn,firms_count,color_sugerido,orden_visualizacion,flujo_modelo,modelo_final
9853103,2022-09-21,2022,9,21,153,21153,1,Cluster 1,Actividad térmica media con incendios registrados relevantes,"Cluster 1 con actividad FIRMS media, presencia CONAFOR alta y cobertura SMN media (FIRMS=0.1178, CONAFOR=0.0103, SMN=0.9598).",Media,Alta,Media,1,0,1,2.0,#D97706,3,municipio_dia,PCA + SOM + KMeans
1349124,2004-01-24,2004,1,24,36,24036,1,Cluster 1,Actividad térmica media con incendios registrados relevantes,"Cluster 1 con actividad FIRMS media, presencia CONAFOR alta y cobertura SMN media (FIRMS=0.1178, CONAFOR=0.0103, SMN=0.9598).",Media,Alta,Media,0,0,1,0.0,#D97706,3,municipio_dia,PCA + SOM + KMeans
7501819,2017-07-28,2017,7,32,2,32002,1,Cluster 1,Actividad térmica media con incendios registrados relevantes,"Cluster 1 con actividad FIRMS media, presencia CONAFOR alta y cobertura SMN media (FIRMS=0.1178, CONAFOR=0.0103, SMN=0.9598).",Media,Alta,Media,0,0,1,0.0,#D97706,3,municipio_dia,PCA + SOM + KMeans
6821789,2016-02-19,2016,2,26,56,26056,1,Cluster 1,Actividad térmica media con incendios registrados relevantes,"Cluster 1 con actividad FIRMS media, presencia CONAFOR alta y cobertura SMN media (FIRMS=0.1178, CONAFOR=0.0103, SMN=0.9598).",Media,Alta,Media,0,0,1,0.0,#D97706,3,municipio_dia,PCA + SOM + KMeans
5597983,2013-06-18,2013,6,12,50,12050,1,Cluster 1,Actividad térmica media con incendios registrados relevantes,"Cluster 1 con actividad FIRMS media, presencia CONAFOR alta y cobertura SMN media (FIRMS=0.1178, CONAFOR=0.0103, SMN=0.9598).",Media,Alta,Media,0,0,1,0.0,#D97706,3,municipio_dia,PCA + SOM + KMeans
3318941,2008-06-16,2008,6,12,47,12047,1,Cluster 1,Actividad térmica media con incendios registrados relevantes,"Cluster 1 con actividad FIRMS media, presencia CONAFOR alta y cobertura SMN media (FIRMS=0.1178, CONAFOR=0.0103, SMN=0.9598).",Media,Alta,Media,0,0,1,0.0,#D97706,3,municipio_dia,PCA + SOM + KMeans
1590426,2004-08-11,2004,8,8,21,8021,1,Cluster 1,Actividad térmica media con incendios registrados relevantes,"Cluster 1 con actividad FIRMS media, presencia CONAFOR alta y cobertura SMN media (FIRMS=0.1178, CONAFOR=0.0103, SMN=0.9598).",Media,Alta,Media,0,0,1,0.0,#D97706,3,municipio_dia,PCA + SOM + KMeans
2452640,2006-07-22,2006,7,14,105,14105,1,Cluster 1,Actividad térmica media con incendios registrados relevantes,"Cluster 1 con actividad FIRMS media, presencia CONAFOR alta y cobertura SMN media (FIRMS=0.1178, CONAFOR=0.0103, SMN=0.9598).",Media,Alta,Media,0,0,1,0.0,#D97706,3,municipio_dia,PCA + SOM + KMeans
7149090,2016-10-29,2016,10,26,38,26038,1,Cluster 1,Actividad térmica media con incendios registrados relevantes,"Cluster 1 con actividad FIRMS media, presencia CONAFOR alta y cobertura SMN media (FIRMS=0.1178, CONAFOR=0.0103, SMN=0.9598).",Media,Alta,Media,0,0,1,0.0,#D97706,3,municipio_dia,PCA + SOM + KMeans
9593685,2022-02-20,2022,2,32,25,32025,1,Cluster 1,Actividad térmica media con incendios registrados relevantes,"Cluster 1 con actividad FIRMS media, presencia CONAFOR alta y cobertura SMN media (FIRMS=0.1178, CONAFOR=0.0103, SMN=0.9598).",Media,Alta,Media,0,0,1,0.0,#D97706,3,municipio_dia,PCA + SOM + KMeans
631051,2002-05-30,2002,5,14,19,14019,1,Cluster 1,Actividad térmica media con incendios registrados relevantes,"Cluster 1 con actividad FIRMS media, presencia CONAFOR alta y cobertura SMN media (FIRMS=0.1178, CONAFOR=0.0103, SMN=0.9598).",Media,Alta,Media,1,0,1,2.0,#D97706,3,municipio_dia,PCA + SOM + KMeans
6034227,2014-05-30,2014,5,14,26,14026,1,Cluster 1,Actividad térmica media con incendios registrados relevantes,"Cluster 1 con actividad FIRMS media, presencia CONAFOR alta y cobertura SMN media (FIRMS=0.1178, CONAFOR=0.0103, SMN=0.9598).",Media,Alta,Media,0,0,1,0.0,#D97706,3,municipio_dia,PCA + SOM + KMeans
6487173,2015-05-24,2015,5,30,144,30144,1,Cluster 1,Actividad térmica media con incendios registrados relevantes,"Cluster 1 con actividad FIRMS media, presencia CONAFOR alta y cobertura SMN media (FIRMS=0.1178, CONAFOR=0.0103, SMN=0.9598).",Media,Alta,Media,1,0,0,7.0,#D97706,3,municipio_dia,PCA + SOM + KMeans
10908019,2025-03-30,2025,3,22,16,22016,1,Cluster 1,Actividad térmica media con incendios registrados relevantes,"Cluster 1 con actividad FIRMS media, presencia CONAFOR alta y cobertura SMN media (FIRMS=0.1178, CONAFOR=0.0103, SMN=0.9598).",Media,Alta,Media,1,0,1,3.0,#D97706,3,municipio_dia,PCA + SOM + KMeans
8758812,2020-04-16,2020,4,15,112,15112,1,Cluster 1,Actividad térmica media con incendios registrados relevantes,"Cluster 1 con actividad FIRMS media, presencia CONAFOR alta y cobertura SMN media (FIRMS=0.1178, CONAFOR=0.0103, SMN=0.9598).",Media,Alta,Media,1,1,1,1.0,#D97706,3,municipio_dia,PCA + SOM + KMeans
