cve_ent,n_observaciones,dias_con_firms,dias_con_conafor,dias_con_smn,firms_total,cluster_label,cluster_name,nivel_actividad_firms,nivel_confirmacion_conafor,nivel_cobertura_smn,color_sugerido,orden_visualizacion
2,56793,15068,2642,56091,98948.0,Cluster 10,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Alta,#B91C1C,1
3,45652,5018,228,45651,11328.0,Cluster 10,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Alta,#B91C1C,1
8,277032,45299,6665,255201,415407.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
25,165457,41329,960,161689,289678.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
1,98993,4971,725,98821,14368.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
18,148213,29724,1594,144116,270302.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
20,795533,116091,3626,713704,505225.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
7,638162,115934,5204,597446,763030.0,Cluster 3,Actividad térmica intermedia,Media,Media,Baja,#D97706,3
9,72776,2589,4068,71706,6432.0,Cluster 3,Actividad térmica intermedia,Media,Media,Baja,#D97706,3
10,327563,26067,3721,325113,336187.0,Cluster 3,Actividad térmica intermedia,Media,Media,Baja,#D97706,3
11,355531,42772,742,347286,143626.0,Cluster 3,Actividad térmica intermedia,Media,Media,Baja,#D97706,3
13,468621,30638,1969,454186,78383.0,Cluster 3,Actividad térmica intermedia,Media,Media,Baja,#D97706,3
15,696579,40560,17478,682693,106453.0,Cluster 3,Actividad térmica intermedia,Media,Media,Baja,#D97706,3
23,89039,16808,1189,88658,187646.0,Cluster 3,Actividad térmica intermedia,Media,Media,Baja,#D97706,3
27,145729,49844,543,142220,468533.0,Cluster 3,Actividad térmica intermedia,Media,Media,Baja,#D97706,3
29,213694,7467,4057,207060,14474.0,Cluster 3,Actividad térmica intermedia,Media,Media,Baja,#D97706,3
32,437959,14023,1338,436260,61862.0,Cluster 3,Actividad térmica intermedia,Media,Media,Baja,#D97706,3
4,110324,37979,434,108585,802728.0,Cluster 2,Baja actividad térmica,Baja,Media,Baja,#2563EB,4
5,258285,25412,1214,255327,137342.0,Cluster 9,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
6,89981,15351,917,89792,51254.0,Cluster 2,Baja actividad térmica,Baja,Media,Baja,#2563EB,4
12,582104,85792,3940,565286,831686.0,Cluster 2,Baja actividad térmica,Baja,Media,Baja,#2563EB,4
14,732124,112949,13144,685016,591635.0,Cluster 2,Baja actividad térmica,Baja,Media,Baja,#2563EB,4
16,553749,104443,12696,506779,534219.0,Cluster 2,Baja actividad térmica,Baja,Media,Baja,#2563EB,4
17,276476,20747,2244,272567,43993.0,Cluster 4,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
19,344659,31097,700,336870,112524.0,Cluster 2,Baja actividad térmica,Baja,Media,Baja,#2563EB,4
21,633162,43409,5629,614501,94550.0,Cluster 4,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
22,141456,7931,924,140415,16822.0,Cluster 4,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
24,442218,29568,1243,439027,88546.0,Cluster 2,Baja actividad térmica,Baja,Media,Baja,#2563EB,4
26,470569,40624,1009,456829,224187.0,Cluster 6,Baja actividad térmica con alta cobertura meteorológica,Baja,Alta,Alta,#2563EB,4
28,296449,52128,444,283728,198504.0,Cluster 2,Baja actividad térmica,Baja,Media,Baja,#2563EB,4
30,743847,131399,3688,678632,454745.0,Cluster 4,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
31,445492,74258,631,415460,342295.0,Cluster 4,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
