cve_ent,cluster_id,n_observaciones,dias_con_firms,dias_con_conafor,dias_con_smn,firms_total,cluster_label,cluster_name,nivel_actividad_firms,nivel_confirmacion_conafor,nivel_cobertura_smn,color_sugerido,orden_visualizacion
1,7,4,4,0,4,464.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
2,7,12278,4187,51,12260,44011.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
3,7,8924,415,2,8924,655.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
4,7,44334,19621,247,44221,607590.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
5,7,77362,7816,686,76509,33688.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
6,7,12,12,5,12,992.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
7,7,21585,6505,689,19468,135434.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
8,7,101285,21071,4043,93665,257164.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
10,7,92435,16084,3191,91665,287774.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
11,7,2434,184,30,2428,3598.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
12,7,4941,3642,449,4454,318844.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
13,7,4,4,0,0,374.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
14,7,9885,4054,701,9107,150794.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
15,7,42,42,15,38,3901.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
16,7,5946,3093,176,4698,96879.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
17,7,4,4,2,0,354.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
18,7,14020,3711,436,13768,127135.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
19,7,16122,1389,48,16070,9771.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
20,7,3127,2985,180,661,72314.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
21,7,14,14,2,7,1427.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
22,7,8,8,2,7,581.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
23,7,23868,7660,490,23836,104853.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
24,7,5554,264,41,5539,11133.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
25,7,36361,11320,351,35633,141216.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
26,7,58327,8617,337,54834,91376.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
27,7,43740,16510,398,42755,168799.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
28,7,23556,8583,34,23039,54315.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
29,7,1,1,1,1,114.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
30,7,17313,7091,15,12760,55853.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
31,7,20792,3111,74,20191,35061.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
32,7,24407,1505,59,24354,20213.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
2,10,24066,7052,1306,24040,40693.0,Cluster 10,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Alta,#B91C1C,1
3,10,27393,4368,178,27392,10178.0,Cluster 10,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Alta,#B91C1C,1
4,10,9135,2788,75,9132,40378.0,Cluster 10,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Alta,#B91C1C,1
5,10,9241,2761,93,9197,13194.0,Cluster 10,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Alta,#B91C1C,1
7,10,9115,3274,193,9114,63424.0,Cluster 10,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Alta,#B91C1C,1
8,10,9883,3644,755,7391,62540.0,Cluster 10,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Alta,#B91C1C,1
10,10,26,26,11,26,2485.0,Cluster 10,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Alta,#B91C1C,1
23,10,9117,2154,104,9117,23113.0,Cluster 10,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Alta,#B91C1C,1
26,10,10124,4781,12,9946,23618.0,Cluster 10,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Alta,#B91C1C,1
28,10,22,4,0,22,10.0,Cluster 10,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Alta,#B91C1C,1
32,10,23,0,0,23,0.0,Cluster 10,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Alta,#B91C1C,1
1,5,22336,2046,384,22280,6745.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
2,5,8211,2500,578,7553,9470.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
3,5,1,0,0,1,0.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
4,5,290,149,2,290,1728.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
5,5,80437,5123,141,80121,9768.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
6,5,41928,9077,480,41844,31588.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
7,5,17099,8566,456,12860,57360.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
8,5,66993,5840,76,64880,19832.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
10,5,39105,1231,31,38930,3950.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
11,5,26455,3141,111,26413,11080.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
12,5,5108,1451,21,5108,10375.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
13,5,71801,2949,356,71102,4985.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
14,5,139557,25901,3202,130069,112415.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
15,5,6473,678,422,6296,3089.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
16,5,103019,22224,2524,98067,98275.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
17,5,14684,1998,141,14595,4213.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
18,5,93942,19886,875,90569,111132.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
19,5,89748,10691,93,86017,29484.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
20,5,67100,19498,110,57687,94462.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
21,5,15476,1062,140,15032,4196.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
22,5,30610,2354,164,30347,4508.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
23,5,2,1,0,2,1.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
24,5,69428,9644,308,69153,29857.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
25,5,73494,22087,201,70694,108233.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
26,5,123854,17352,282,117795,71837.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
27,5,25883,3961,53,25864,23484.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
28,5,75717,12070,100,73305,38096.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
30,5,35449,6800,265,33005,24092.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
31,5,15,5,0,15,14.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
32,5,65958,3979,256,65669,11660.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
1,8,2,0,0,2,0.0,Cluster 8,Alta actividad térmica con baja confirmación histórica,Alta,Baja,Baja,#EA580C,2
4,8,1,0,0,1,0.0,Cluster 8,Alta actividad térmica con baja confirmación histórica,Alta,Baja,Baja,#EA580C,2
7,8,28067,3952,15,26221,13119.0,Cluster 8,Alta actividad térmica con baja confirmación histórica,Alta,Baja,Baja,#EA580C,2
8,8,256,2,1,256,5.0,Cluster 8,Alta actividad térmica con baja confirmación histórica,Alta,Baja,Baja,#EA580C,2
10,8,12,0,0,12,0.0,Cluster 8,Alta actividad térmica con baja confirmación histórica,Alta,Baja,Baja,#EA580C,2
12,8,43027,6087,37,41727,30517.0,Cluster 8,Alta actividad térmica con baja confirmación histórica,Alta,Baja,Baja,#EA580C,2
13,8,12863,646,3,12567,1237.0,Cluster 8,Alta actividad térmica con baja confirmación histórica,Alta,Baja,Baja,#EA580C,2
14,8,8776,2798,106,6393,7320.0,Cluster 8,Alta actividad térmica con baja confirmación histórica,Alta,Baja,Baja,#EA580C,2
15,8,10603,1169,648,9247,3473.0,Cluster 8,Alta actividad térmica con baja confirmación histórica,Alta,Baja,Baja,#EA580C,2
16,8,2967,184,123,2899,394.0,Cluster 8,Alta actividad térmica con baja confirmación histórica,Alta,Baja,Baja,#EA580C,2
17,8,26070,1885,201,26062,4488.0,Cluster 8,Alta actividad térmica con baja confirmación histórica,Alta,Baja,Baja,#EA580C,2
19,8,338,31,0,338,125.0,Cluster 8,Alta actividad térmica con baja confirmación histórica,Alta,Baja,Baja,#EA580C,2
20,8,23639,2123,58,21716,5718.0,Cluster 8,Alta actividad térmica con baja confirmación histórica,Alta,Baja,Baja,#EA580C,2
21,8,46897,1892,263,46605,4593.0,Cluster 8,Alta actividad térmica con baja confirmación histórica,Alta,Baja,Baja,#EA580C,2
24,8,2,0,0,2,0.0,Cluster 8,Alta actividad térmica con baja confirmación histórica,Alta,Baja,Baja,#EA580C,2
25,8,2,0,0,2,0.0,Cluster 8,Alta actividad térmica con baja confirmación histórica,Alta,Baja,Baja,#EA580C,2
26,8,1799,1422,0,380,4650.0,Cluster 8,Alta actividad térmica con baja confirmación histórica,Alta,Baja,Baja,#EA580C,2
27,8,19638,11456,52,19528,125899.0,Cluster 8,Alta actividad térmica con baja confirmación histórica,Alta,Baja,Baja,#EA580C,2
28,8,9129,2211,2,9129,7074.0,Cluster 8,Alta actividad térmica con baja confirmación histórica,Alta,Baja,Baja,#EA580C,2
29,8,1,0,0,1,0.0,Cluster 8,Alta actividad térmica con baja confirmación histórica,Alta,Baja,Baja,#EA580C,2
30,8,92445,12445,443,87566,30443.0,Cluster 8,Alta actividad térmica con baja confirmación histórica,Alta,Baja,Baja,#EA580C,2
31,8,465,163,0,335,309.0,Cluster 8,Alta actividad térmica con baja confirmación histórica,Alta,Baja,Baja,#EA580C,2
32,8,8,0,0,8,0.0,Cluster 8,Alta actividad térmica con baja confirmación histórica,Alta,Baja,Baja,#EA580C,2
1,1,18546,744,81,18522,2108.0,Cluster 1,Actividad térmica media con incendios registrados relevantes,Media,Alta,Media,#D97706,3
2,1,4051,472,399,4051,1956.0,Cluster 1,Actividad térmica media con incendios registrados relevantes,Media,Alta,Media,#D97706,3
3,1,61,1,0,61,2.0,Cluster 1,Actividad térmica media con incendios registrados relevantes,Media,Alta,Media,#D97706,3
4,1,5614,1232,5,5608,8539.0,Cluster 1,Actividad térmica media con incendios registrados relevantes,Media,Alta,Media,#D97706,3
5,1,13338,810,73,13005,1703.0,Cluster 1,Actividad térmica media con incendios registrados relevantes,Media,Alta,Media,#D97706,3
6,1,14710,1817,182,14681,5966.0,Cluster 1,Actividad térmica media con incendios registrados relevantes,Media,Alta,Media,#D97706,3
7,1,138653,25409,1773,131765,127143.0,Cluster 1,Actividad térmica media con incendios registrados relevantes,Media,Alta,Media,#D97706,3
8,1,25528,4351,253,22418,19442.0,Cluster 1,Actividad térmica media con incendios registrados relevantes,Media,Alta,Media,#D97706,3
9,1,3252,338,607,3250,1473.0,Cluster 1,Actividad térmica media con incendios registrados relevantes,Media,Alta,Media,#D97706,3
10,1,56310,2267,82,56146,5409.0,Cluster 1,Actividad térmica media con incendios registrados relevantes,Media,Alta,Media,#D97706,3
11,1,98924,12301,276,97989,47038.0,Cluster 1,Actividad térmica media con incendios registrados relevantes,Media,Alta,Media,#D97706,3
12,1,194216,29494,1476,189641,187405.0,Cluster 1,Actividad térmica media con incendios registrados relevantes,Media,Alta,Media,#D97706,3
