anio,mes,n_observaciones,dias_con_firms,dias_con_conafor,dias_con_smn,firms_total,cluster_label,cluster_name,nivel_actividad_firms,nivel_confirmacion_conafor,nivel_cobertura_smn,color_sugerido,orden_visualizacion
2001,1,37764,478,0,37644,691.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
2001,2,34532,538,0,34408,799.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
2001,3,38390,1288,0,38047,2249.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
2001,4,37797,3202,0,36737,8973.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
2001,5,38630,2961,0,37759,8892.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
2001,6,36849,545,0,36734,993.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
2001,7,37943,357,0,37890,612.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
2001,8,37960,242,0,37924,398.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
2001,9,36591,211,0,36566,317.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
2001,10,37932,212,0,37884,309.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
2001,11,36322,471,0,36214,763.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
2001,12,37161,444,0,37080,674.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
2002,1,37377,669,0,37214,978.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
2002,2,34087,487,0,33979,784.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
2002,3,37637,848,0,37395,1428.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
2002,4,37451,3631,0,36283,10197.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
2002,5,38669,4863,0,37124,15114.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
2002,6,36362,1098,0,36168,2429.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
2002,7,37161,579,0,37089,1274.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
2002,8,37046,524,0,36982,970.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
2002,9,35534,341,0,35479,700.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
2002,10,36794,418,0,36712,665.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
2002,11,35574,575,0,35453,948.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
2002,12,35520,1086,0,35271,1815.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
2003,1,36230,885,0,36050,1406.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
2003,2,33152,1359,0,32848,2328.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
2003,3,37091,3101,0,36101,9268.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
2003,4,36531,4672,0,34988,19825.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
2003,5,38995,8666,0,35989,39681.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
2003,6,35701,1952,0,35256,5272.0,Cluster 5,Alta actividad térmica con baja confirmación histórica,Alta,Media,Media,#EA580C,2
