cvegeo,cve_ent,cve_mun,n_observaciones,dias_con_firms,dias_con_conafor,dias_con_smn,firms_total,cluster_label,cluster_name,nivel_actividad_firms,nivel_confirmacion_conafor,nivel_cobertura_smn,color_sugerido,orden_visualizacion
2001,2,1,9131,3437,1230,9130,37134.0,Cluster 10,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Alta,#B91C1C,1
2002,2,2,9131,5333,10,9131,30554.0,Cluster 10,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Alta,#B91C1C,1
2006,2,6,9044,1908,91,9020,6261.0,Cluster 10,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Alta,#B91C1C,1
2007,2,7,8959,482,3,8948,833.0,Cluster 10,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Alta,#B91C1C,1
3001,3,1,9131,1972,53,9130,5768.0,Cluster 10,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Alta,#B91C1C,1
3002,3,2,9131,1094,32,9131,1786.0,Cluster 10,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Alta,#B91C1C,1
3003,3,3,9131,1302,93,9131,2624.0,Cluster 10,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Alta,#B91C1C,1
3009,3,9,9129,416,2,9129,656.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
4003,4,3,9127,5988,28,9101,128201.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
4004,4,4,9109,4062,46,9100,121975.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
4007,4,7,9071,2449,26,9034,37995.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
4010,4,10,9117,2772,74,9114,39713.0,Cluster 10,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Alta,#B91C1C,1
4011,4,11,9099,3417,47,9087,145337.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
5002,5,2,504,468,59,0,4035.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
5007,5,7,9110,372,93,9110,3699.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
5012,5,12,142,137,5,0,301.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
5020,5,20,8837,913,190,8793,4137.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
5023,5,23,9113,2760,93,9069,13193.0,Cluster 10,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Alta,#B91C1C,1
5024,5,24,9079,313,15,9070,638.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
5027,5,27,9040,3244,79,8909,10682.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
5030,5,30,9121,1095,146,9112,2689.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
5031,5,31,7936,320,67,7880,2270.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
