cvegeo,cve_ent,cve_mun,cluster_id,n_observaciones,dias_con_firms,dias_con_conafor,dias_con_smn,firms_total,cluster_label,cluster_name,nivel_actividad_firms,nivel_confirmacion_conafor,nivel_cobertura_smn,color_sugerido,orden_visualizacion
1010,1,10,7,4,4,0,4,464.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
2001,2,1,7,83,58,17,83,10048.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
2002,2,2,7,5041,3592,8,5041,23237.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
2003,2,3,7,61,58,20,61,6844.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
2004,2,4,7,12,12,2,12,1698.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
2005,2,5,7,10,10,1,2,1381.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
2007,2,7,7,7071,457,3,7061,803.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
3008,3,8,7,2,0,0,2,0.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
3009,3,9,7,8922,415,2,8922,655.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
4001,4,1,7,1973,533,14,1972,5586.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
4002,4,2,7,520,337,5,520,21735.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
4003,4,3,7,9059,5958,28,9033,128081.0,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Baja,#B91C1C,1
